id,description,n,best_lag,r,maxstat_p,circ_p,r_train,r_test,p_test,r_sat_only,r_ear_only,slope,r_by_lag
E1_Y1_z,coincident lag0 yunnan_area|z vs SHFE_AL,92,0.0,0.0666348543644382,0.4703529647035296,0.4725274725274725,0.1022956987239355,-0.0316799774295971,0.5906409359064093,,,,
E1_Y1_dz3,coincident lag0 yunnan_area|dz3 vs SHFE_AL,89,0.0,0.081798575093592,0.4191580841915808,0.4090909090909091,0.1376529783494373,-0.0465048253128606,0.6172382761723828,,,,
E1_Y2_z,coincident lag0 yunnan_area|z vs ALI=F,92,0.0,0.1853375631735438,0.0885911408859114,0.1978021978021978,0.1818555958851731,0.1659557473187191,0.1418858114188581,,,,
E1_Y2_dz3,coincident lag0 yunnan_area|dz3 vs ALI=F,89,0.0,0.1196058553599059,0.2802719728027197,0.3068181818181818,0.2291833656561,-0.0522859899133842,0.6174382561743825,,,,
E1_Y3_z,coincident lag0 yunnan_area|z vs 000807.SZ-000001.SS,92,0.0,0.1548013543212981,0.0840915908409159,0.0659340659340659,0.1625064793267306,0.1628798037374789,0.1550844915508449,,,,
E1_Y3_dz3,coincident lag0 yunnan_area|dz3 vs 000807.SZ-000001.SS,89,0.0,0.1399303603204587,0.1574842515748425,0.1590909090909091,0.1959286529921576,0.0414640299816219,0.3925607439256074,,,,
E1_Y4_z,coincident lag0 yunnan_area|z vs AA-^GSPC,92,0.0,0.2427224870879278,0.0224977502249775,0.0769230769230769,0.2742390662724547,0.1786981973007679,0.1683831616838316,,,,
E1_Y4_dz3,coincident lag0 yunnan_area|dz3 vs AA-^GSPC,89,0.0,0.1303448941179406,0.2276772322767723,0.3295454545454545,0.2203044129736622,-0.0425060408002705,0.5904409559044096,,,,
E1_Y5_z,coincident lag0 yunnan_area|z vs NHY.OL-OSEBX.OL,92,0.0,0.1160506531292195,0.2798720127987201,0.3736263736263736,0.0834057665714736,0.2348929759582904,0.0680931906809319,,,,
E1_Y5_dz3,coincident lag0 yunnan_area|dz3 vs NHY.OL-OSEBX.OL,89,0.0,0.0770699279299118,0.4646535346465353,0.5113636363636364,0.1330668307295596,-0.012524221853543,0.5432456754324567,,,,
E1_B1_z,coincident lag0 brazil_seco_area|z vs AXIA3.SA-^BVSP,241,0.0,-0.0340502081446585,0.5912408759124088,0.5655737704918032,-0.0186707760428807,-0.0782857978536776,0.1946805319468053,,,,
E1_B1_dz3,coincident lag0 brazil_seco_area|dz3 vs AXIA3.SA-^BVSP,234,0.0,0.0481757252481967,0.4601539846015398,0.4315352697095436,0.0212081002713764,0.133545817766663,0.0930906909309069,,,,
E1_B2_z,coincident lag0 brazil_seco_area|z vs CMIG4.SA-^BVSP,241,0.0,0.0043803456882744,0.9475052494750524,0.9221311475409836,0.0591849907671973,-0.1580325145827247,0.954104589541046,,,,
E1_B2_dz3,coincident lag0 brazil_seco_area|dz3 vs CMIG4.SA-^BVSP,234,0.0,-0.0097643476168202,0.8865113488651135,0.8506224066390041,0.0020876270771833,-0.0929154582072241,0.8231176882311769,,,,
E1_B3_z,coincident lag0 brazil_seco_area|z vs EGIE3.SA-^BVSP,241,0.0,-0.0506733783609767,0.4103589641035896,0.4221311475409836,-0.0450914369121994,-0.0862581004056028,0.1785821417858214,,,,
E1_B3_dz3,coincident lag0 brazil_seco_area|dz3 vs EGIE3.SA-^BVSP,234,0.0,0.0386627826105194,0.5537446255374463,0.5477178423236515,0.0295871805872441,0.0786747968844175,0.2225777422257774,,,,
E1_B4_z,coincident lag0 brazil_seco_area|z vs ENEV3.SA-^BVSP,224,0.0,0.1526034190133309,0.046995300469953,0.1383928571428571,0.1704945612611972,-0.0210276031714076,0.5722427757224278,,,,
E1_B4_dz3,coincident lag0 brazil_seco_area|dz3 vs ENEV3.SA-^BVSP,223,0.0,0.1443397723039527,0.0347965203479652,0.0446428571428571,0.1397152745212689,0.0895176917676908,0.2002799720027997,,,,
