id,placebo_signal,target,tier,n,best_lag,r,maxstat_p
B2_dz3,placebo_volta,CMIG4.SA-^BVSP,market,92,3,-0.05630823462627925,0.9225077492250775
B2_dz3,placebo_toktogul,CMIG4.SA-^BVSP,market,212,2,-0.06995572957832762,0.6525347465253475
B3_z,placebo_argyle,EGIE3.SA-^BVSP,market,232,2,0.06295951697378888,0.5901409859014098
B3_z,placebo_guri,EGIE3.SA-^BVSP,market,213,2,-0.046567355330338206,0.8178182181781822
B3_z,placebo_volta,EGIE3.SA-^BVSP,market,143,1,0.12740424875543396,0.27847215278472154
B3_z,placebo_toktogul,EGIE3.SA-^BVSP,market,227,3,0.07223902098053536,0.5067493250674933
B3_dz3,placebo_argyle,EGIE3.SA-^BVSP,market,218,1,-0.1754982749114304,0.023697630236976304
B3_dz3,placebo_guri,EGIE3.SA-^BVSP,market,186,2,-0.06860739638289322,0.6965303469653035
B3_dz3,placebo_volta,EGIE3.SA-^BVSP,market,94,1,-0.08761756586194343,0.7704229577042295
B3_dz3,placebo_toktogul,EGIE3.SA-^BVSP,market,211,3,0.122910182533799,0.1817818218178182
B4_z,placebo_argyle,ENEV3.SA-^BVSP,market,210,3,-0.10158934777098523,0.3457654234576542
B4_z,placebo_guri,ENEV3.SA-^BVSP,market,198,1,0.07045098027178619,0.6294370562943705
B4_z,placebo_volta,ENEV3.SA-^BVSP,market,143,1,0.025241248668911982,0.9763023697630236
B4_z,placebo_toktogul,ENEV3.SA-^BVSP,market,208,1,0.1861668388479873,0.0390960903909609
B4_dz3,placebo_argyle,ENEV3.SA-^BVSP,market,200,1,-0.051524300350817634,0.8013198680131987
B4_dz3,placebo_guri,ENEV3.SA-^BVSP,market,174,3,0.1019847768593309,0.3775622437756224
B4_dz3,placebo_volta,ENEV3.SA-^BVSP,market,94,1,-0.11215960315166157,0.5362463753624638
B4_dz3,placebo_toktogul,ENEV3.SA-^BVSP,market,195,1,0.05702341682801723,0.7627237276272373
B5_z,placebo_argyle,ENGI11.SA-^BVSP,market,190,1,0.07793115562104495,0.45095490450954906
B5_z,placebo_guri,ENGI11.SA-^BVSP,market,180,1,0.0542010130316869,0.7691230876912308
B5_z,placebo_volta,ENGI11.SA-^BVSP,market,133,1,0.09127456078259905,0.5209479052094791
B5_z,placebo_toktogul,ENGI11.SA-^BVSP,market,192,2,0.07868121110097719,0.46465353464653536
B5_dz3,placebo_argyle,ENGI11.SA-^BVSP,market,180,3,0.09307181215029205,0.43585641435856415
B5_dz3,placebo_guri,ENGI11.SA-^BVSP,market,162,2,0.06720832519569196,0.7928207179282072
B5_dz3,placebo_volta,ENGI11.SA-^BVSP,market,90,1,0.12030700201781633,0.5678432156784322
B5_dz3,placebo_toktogul,ENGI11.SA-^BVSP,market,185,2,0.07878476106027968,0.6208379162083791
Z1_z,placebo_argyle,HG=F,market,232,2,-0.10233648357469793,0.2916708329167083
Z1_z,placebo_guri,HG=F,market,212,3,0.04925455415420066,0.8133186681331867
Z1_z,placebo_volta,HG=F,market,141,3,0.12067062182681326,0.34556544345565443
Z1_z,placebo_toktogul,HG=F,market,229,1,0.1603870431240029,0.06409359064093591
Z1_dz3,placebo_argyle,HG=F,market,217,3,-0.04216689233010307,0.8812118788121188
Z1_dz3,placebo_guri,HG=F,market,187,1,0.029712864828760798,0.9643035696430357
Z1_dz3,placebo_volta,HG=F,market,93,2,-0.1092429451463768,0.6047395260473952
Z1_dz3,placebo_toktogul,HG=F,market,213,1,0.13014681144945534,0.17628237176282371
Z2_z,placebo_argyle,FM.TO-^GSPTSE,market,232,2,-0.1172980143703049,0.13908609139086092
Z2_z,placebo_guri,FM.TO-^GSPTSE,market,212,3,0.10351797702473368,0.25377462253774624
Z2_z,placebo_volta,FM.TO-^GSPTSE,market,142,2,0.06971526704294996,0.6996300369963003
Z2_z,placebo_toktogul,FM.TO-^GSPTSE,market,228,2,0.11953082060890628,0.1416858314168583
Z2_dz3,placebo_argyle,FM.TO-^GSPTSE,market,217,3,-0.04605645045964193,0.8426157384261573
Z2_dz3,placebo_guri,FM.TO-^GSPTSE,market,185,3,0.06580439859450858,0.7224277572242775
Z2_dz3,placebo_volta,FM.TO-^GSPTSE,market,94,1,-0.22492785255042677,0.09809019098090191
Z2_dz3,placebo_toktogul,FM.TO-^GSPTSE,market,212,2,0.029834181503498182,0.951004899510049
Z3_z,placebo_argyle,USDZMW,market,152,3,-0.07343339706718989,0.624937506249375
Z3_z,placebo_guri,USDZMW,market,147,3,-0.07938269868523427,0.6566343365663434
