plant_id_eia,max_mw,mean_mw,frac_off,ctypes,ttypes,n_cool,plant_name_eia,state,latitude,longitude,fuel,group
2721,1486.0,608.2471539162113,0.1933060109289617,RI,MW,2.0,James E. Rogers Energy Complex,NC,35.22,-81.7594,coal,mech_draft
6055,1470.0,201.0677367941712,0.5105874316939891,"ON,RI",MW,3.0,Big Cajun 2,LA,30.7261,-91.3692,coal,mech_draft
602,1395.0,281.1221539162113,0.436247723132969,RI,MW,2.0,Brandon Shores,MD,39.2,-76.5389,coal,mech_draft
470,1156.0,687.6131602914389,0.052823315118397,"HRI,RI","WD,MW",3.0,Comanche (CO),CO,38.2081,-104.5747,coal,mech_draft
994,1129.0,396.90642076502735,0.0418943533697632,"ON,RI",MW,4.0,AES Petersburg,IN,38.5281,-87.2525,coal,mech_draft
3470,3707.0,1495.8860428051005,0.0225409836065573,"RI,OC",MW,8.0,W A Parish,TX,29.4828,-95.6311,coal,mech_draft
130,2292.0,1051.784039162113,0.0007969034608378,RI,MW,4.0,Cross,SC,33.371506,-80.113235,coal,mech_draft
6071,2201.0,1108.3814890710382,0.0,RI,"MW,NW",2.0,Trimble County,KY,38.5847,-85.4117,coal,mech_draft
1356,2097.0,1318.3796675774136,0.0,RI,MW,4.0,Ghent,KY,38.7497,-85.035,coal,mech_draft
1733,3200.0,1622.9729052823316,0.0,ON,,4.0,Monroe (MI),MI,41.8906,-83.3464,coal,once_through_control
2103,2591.0,1730.199339708561,0.0025045537340619,ON,,4.0,Labadie,MO,38.562244,-90.837686,coal,once_through_control
3399,2449.0,1172.3695355191255,0.087431693989071,ON,,1.0,Cumberland (TN),TN,36.3903,-87.6539,coal,once_through_control
3954,1735.0,512.1906876138434,0.3219489981785063,OC,,3.0,Mt Storm,WV,39.2008,-79.2636,coal,once_through_control
1241,1543.0,657.4160974499089,0.1700819672131147,OC,,2.0,La Cygne,KS,38.3481,-94.6456,coal,once_through_control
