,r_daily_flux
10,0.09433777703782435
1001,0.5170372647178293
10745,-0.06692618761136226
126,-0.17086238774693477
136,0.13778812410508898
1364,0.32178974486679407
1379,0.11325136670777916
1403,0.16246377956455593
160,0.2823649566780443
1710,0.0951841923358561
1893,0.3004869744015188
2103,0.04281086014238132
2107,0.13938117363566774
2168,0.6743713668220181
2277,0.20330507580840204
2442,0.15210090335293913
26,0.27842629504394406
2721,0.2114836973687655
2727,0.26548572284055716
2956,0.27668763918924705
2964,0.1323842454364034
3399,0.24655539166440824
3407,0.21611525568041898
3482,0.10275079685487029
3490,0.528742237238204
3954,0.2754731058855407
4158,0.2985368701585366
58215,0.16790119266260495
6002,0.14779234684831705
6017,0.18093250510254155
6021,0.40418269717065025
6034,0.08400034363780334
6041,0.20510011115471927
6076,0.4988827278595978
6077,0.3885205885321897
6090,0.2088720577794808
6096,0.2659348224080613
612,-0.01608101803076315
6138,0.16074466766181897
6139,0.2691087908363149
6146,0.1046988227894216
6178,0.2122539854982406
6179,0.2763188562943324
6190,0.16219108629815096
6204,0.28841626683594457
6249,0.04950597824032682
6257,0.592992710448458
628,0.31268227969485807
641,-0.05855818594708563
6481,0.6268179124044632
6641,0.2599454207037143
6761,0.10748104879310796
703,0.5019624272454604
7210,0.1871888763830748
7790,0.44599915517517086
8042,0.44642355309661025
8066,0.4245749243685898
8224,0.12618387939919698
