split,bin,n,n_off,auc_raw,auc_model,spearman_raw,spearman_img,spearman_model
season,Apr-Oct,1550,324,0.7830355164844018,0.7853553662417174,0.3907381584765605,0.36650193868678066,0.4788523818951927
season,Nov-Mar,1070,216,0.893366727383121,0.8077944748026715,0.6164370255072162,0.5190911219520927,0.5369799514721167
Tbin,"(-40, 5]",212,49,0.9618129460373106,0.9422812069613122,0.7039664101191544,0.5804034843682644,0.6255987341351876
Tbin,"(5, 15]",753,176,0.8925181187962817,0.8231447928155033,0.6131762957812208,0.53302776009341,0.5458394958125034
Tbin,"(15, 25]",986,243,0.7735379315310525,0.7225074633478998,0.43084350996646226,0.4073098093677329,0.4221458732417417
Tbin,"(25, 50]",669,72,0.7085194490973384,0.693351014330914,0.2471532697515835,0.20776110498499706,0.29923100511412903
RHbin,"(0, 40]",555,112,0.810877539503386,0.7814011609158336,0.4094208765235152,0.29752633878583457,0.4046472275125097
RHbin,"(40, 60]",1610,350,0.8329920634920636,0.8012471655328798,0.5219657079722201,0.4817067822844932,0.5438129000057302
RHbin,"(60, 80]",443,77,0.8532219146973246,0.7811368958909942,0.4575425931290486,0.47001689480840614,0.5318272961552083
