plant,kind,lat,lon,height,osm_type,osm_id
3148,chimney,40.7971162,-75.105392,183,node,1741441790
3148,chimney,40.7975067,-75.104712,183,node,1741441791
3148,chimney,40.8021001,-75.1069999,,node,1741444197
3148,chimney,40.8023847,-75.1072962,,node,1741444198
6641,chimney,35.6782925,-91.4078012,305,node,2192025180
6257,chimney,33.0594938,-83.8073418,305,node,7773259197
6257,chimney,33.0612853,-83.8064712,305,node,7773259198
6257,chimney,33.0573818,-83.8064641,,node,7773259199
6257,chimney,33.0633459,-83.8065428,,node,7773259252
2828,chimney,40.2530718,-80.6467214,,node,7791710253
2828,chimney,40.2523989,-80.6481488,,node,7791710254
2828,chimney,40.2519527,-80.6490264,,node,7791710255
2828,chimney,40.2422222,-80.656248,,node,7791710256
3943,chimney,39.7093662,-79.9284293,,node,7887325970
3943,chimney,39.7100478,-79.927629,,node,7887325971
3943,chimney,39.7103732,-79.9271317,,node,7887325972
6004,chimney,39.3676894,-81.2949104,,node,7905896371
6004,chimney,39.3671833,-81.2955745,,node,7905896372
6004,chimney,39.3677256,-81.295827,,node,7905896373
564,chimney,28.4831061,-81.1677291,,node,8066180246
564,chimney,28.4824301,-81.1677076,,node,8066180247
1571,chimney,38.5445896,-76.685617,,node,8066390628
1571,chimney,38.5437496,-76.6858038,,node,8066390629
1571,chimney,38.5431323,-76.6861353,,node,8066390630
564,chimney,28.4884401,-81.1672729,,node,8568194950
564,chimney,28.4881109,-81.1672694,,node,8568194951
564,chimney,28.4869905,-81.1671454,,node,8568194952
1571,chimney,38.5453649,-76.6857701,,node,9809350937
1378,chimney,37.2710881,-86.9891727,,node,10726713504
1378,chimney,37.2710965,-86.9887108,,node,10726725305
1378,chimney,37.2711008,-86.9882428,,node,10726725306
1378,chimney,37.270628,-86.9891743,,node,10726725307
1378,chimney,37.2706411,-86.9887068,,node,10726725308
1378,chimney,37.2706432,-86.9882421,,node,10726725309
1571,chimney,38.5491185,-76.6907232,,node,11767350031
1571,chimney,38.5490199,-76.6902966,,node,11767350032
1571,chimney,38.5487,-76.6891093,,node,11767350033
1571,chimney,38.548624,-76.6887957,,node,11767350034
1571,chimney,38.5508644,-76.6914841,,node,11767350035
1571,chimney,38.5426168,-76.6838017,,node,11769966945
1571,chimney,38.5428688,-76.6836774,,node,11769966946
1378,chimney,37.2683752,-86.9856074,,node,11865354121
1378,chimney,37.2683808,-86.9851197,,node,11865354122
1378,chimney,37.2683858,-86.9846018,,node,11865354123
1571,cooling_tower,38.5442413,-76.6894434,,way,66560869
6641,cooling_tower,35.6760885,-91.4076229,,way,481355604
6641,cooling_tower,35.6738742,-91.4062037,,way,481355605
3148,cooling_tower,40.7988237,-75.1071522,,way,659559693
3148,cooling_tower,40.7996918,-75.1058767,,way,659559697
6257,cooling_tower,33.0563846,-83.8087939,305,way,832611948
6257,cooling_tower,33.0574039,-83.8112491,305,way,832611949
6257,cooling_tower,33.0637434,-83.8111219,305,way,832611950
6257,cooling_tower,33.0642235,-83.8080346,305,way,832611951
2828,cooling_tower,40.2412967,-80.6577836,,way,834685329
703,cooling_tower,34.1232005,-84.9239248,,way,844101059
703,cooling_tower,34.124996,-84.924874,,way,844101060
3943,cooling_tower,39.709653,-79.929362,,way,845395785
3943,cooling_tower,39.7120056,-79.9263666,,way,845395786
6004,cooling_tower,39.3677637,-81.292118,,way,847236414
6004,cooling_tower,39.3691303,-81.293577,,way,847236415
1353,cooling_tower,38.1698764,-82.6191447,,way,847827398
1571,cooling_tower,38.5438506,-76.6874021,,way,865410595
703,cooling_tower,34.1235513,-84.919682,,way,894334718
703,cooling_tower,34.1250045,-84.9186697,,way,894334719
703,chimney,34.1260419,-84.921095,,way,937336765
703,chimney,34.1257601,-84.9225283,,way,937336766
703,chimney,34.127231,-84.9255702,,way,937336769
1378,chimney,37.2597916,-86.9799338,,way,937338307
1378,chimney,37.2598364,-86.9808289,,way,937338308
1378,chimney,37.260474,-86.9788796,,way,937338309
1378,chimney,37.260914,-86.9784547,,way,937338310
1353,chimney,38.1711781,-82.6184593,,way,937775136
564,cooling_tower,28.4802431,-81.1627553,,way,983641809
564,cooling_tower,28.4802382,-81.1641883,,way,983641810
6166,chimney,37.9257255,-87.0370651,,way,1013559828
6166,cooling_tower,37.9233264,-87.0338052,,way,1013559830
6166,cooling_tower,37.9279782,-87.0340506,,way,1013559831
1353,cooling_tower,38.17102,-82.615484,,way,1038036855
703,chimney,34.1260239,-84.9187414,,way,1055217217
6257,cooling_tower,33.0692042,-83.8047364,,way,1527766601
8102,chimney,38.934751,-82.1158109,,node,2184606764
8102,chimney,38.9359028,-82.1153494,,node,2184606765
8102,chimney,38.9355355,-82.116374,,node,2184606768
3935,chimney,38.4730541,-81.8234177,,node,2193433744
3935,chimney,38.4747537,-81.8251161,,node,2193433761
3935,chimney,38.4760134,-81.8258185,,node,2193433804
2832,chimney,39.1122832,-84.8019889,,node,5620700440
2832,chimney,39.1125038,-84.8009777,,node,5620700441
3935,chimney,38.4721217,-81.8249588,,node,6111403495
3948,chimney,39.8298869,-80.815299,,node,8066184424
3948,chimney,39.8309788,-80.8168363,,node,8066184425
3149,chimney,41.0698613,-76.6658553,,node,8066201791
3149,chimney,41.0692503,-76.6648765,,node,8066201792
136,chimney,29.7337705,-81.6324413,,node,8066267586
6264,chimney,38.9789637,-81.9339698,,node,8071220950
6264,chimney,38.9795835,-81.9345125,,node,8071220951
2832,chimney,39.113032,-84.8032189,,node,8071933889
2832,chimney,39.1148113,-84.8045557,,node,8071933890
2832,chimney,39.1141742,-84.8040808,,node,8071933891
3149,chimney,41.068522,-76.6656434,,node,8312669879
628,chimney,28.9675051,-82.6955794,,node,8744782594
3136,cooling_tower,40.6578815,-79.3417056,,way,64971446
3136,cooling_tower,40.6599011,-79.3371155,,way,64971447
3136,cooling_tower,40.6605967,-79.3381207,,way,64971448
3136,cooling_tower,40.657072,-79.3407502,,way,64971453
3136,chimney,40.6601152,-79.3416417,,way,523730009
3136,chimney,40.6604937,-79.3411133,,way,523730010
3136,chimney,40.6609902,-79.3402791,,way,523730011
3935,cooling_tower,38.4732083,-81.8201745,,way,651762855
3935,cooling_tower,38.4746971,-81.8211826,,way,651762857
3935,cooling_tower,38.4763716,-81.8218522,,way,662472090
3149,cooling_tower,41.071332,-76.6668349,,way,672652489
3149,cooling_tower,41.0715197,-76.6624522,,way,672652493
2832,cooling_tower,39.1161342,-84.8052856,,way,684598202
136,cooling_tower,29.7305205,-81.6264539,,way,720361032
136,cooling_tower,29.7290482,-81.6276388,,way,720361033
8102,cooling_tower,38.9382949,-82.1173576,,way,822973630
8102,cooling_tower,38.9339034,-82.1190183,,way,822991202
6002,cooling_tower,33.6281986,-87.0591285,,way,832917959
6002,cooling_tower,33.6337794,-87.0556826,,way,832917960
3118,cooling_tower,40.3871148,-79.0618295,,way,833167958
3118,cooling_tower,40.3867454,-79.0586895,,way,833167959
628,cooling_tower,28.9659978,-82.7004433,,way,861234810
628,cooling_tower,28.9681272,-82.7004642,,way,861234811
3944,chimney,39.3855587,-80.333367,305,way,865388214
3944,chimney,39.3852006,-80.3326562,,way,865388215
3944,chimney,39.3849477,-80.333422,,way,865388216
3948,cooling_tower,39.8279607,-80.8175674,,way,865389173
