plant,kind,lat,lon,height,osm_type,osm_id
IRN_KAZEROON,chimney,29.5633064,51.6964144,,node,8447519036
IRN_KAZEROON,chimney,29.5634352,51.6967101,,node,8447519037
IRN_KAZEROON,chimney,29.5635455,51.6969913,,node,8447519038
IRN_KAZEROON,chimney,29.5629244,51.6962983,,node,8447519039
IRN_KAZEROON,chimney,29.5630469,51.6965835,,node,8447519040
IRN_KAZEROON,chimney,29.5631594,51.6968722,,node,8447519041
IRN_KAZEROON,chimney,29.5632676,51.6971551,,node,8447519042
IRN_FARS,chimney,29.3580692,52.6158677,,node,8462483186
IRN_FARS,chimney,29.3585648,52.6156523,,node,8462483187
IRN_FARS,chimney,29.3586759,52.6159552,,node,8462483188
IRN_FARS,chimney,29.3581771,52.616168,,node,8462483189
IRN_FARS,chimney,29.3592756,52.6156933,,node,8462483194
IRN_FARS,chimney,29.3591575,52.615396,,node,8462483195
IRN_FARS,chimney,29.3596541,52.6151836,,node,8462483196
IRN_FARS,chimney,29.359769,52.6154777,,node,8462483197
IRN_FARS,chimney,29.3602416,52.6149293,,node,8462483202
IRN_FARS,chimney,29.3603669,52.6152167,,node,8462483203
IRN_FARS,chimney,29.3607574,52.6147137,,node,8462483204
IRN_FARS,chimney,29.3608708,52.61501,,node,8462483205
IRN_FARS,chimney,29.3672565,52.6124332,,node,8462556253
IRN_FARS,chimney,29.3675627,52.6122977,,node,8462556254
IRN_FARS,chimney,29.3678746,52.6121621,,node,8462556255
IRN_FARS,chimney,29.3681853,52.612029,,node,8462556256
IRN_FARS,chimney,29.3685173,52.6118921,,node,8462556257
IRN_FARS,chimney,29.3688378,52.6117523,,node,8462556258
IRN_ALIABAD,chimney,36.9452525,54.8880989,,node,8477014267
IRN_ALIABAD,chimney,36.9453994,54.8884816,,node,8477014268
IRN_ALIABAD,chimney,36.9455535,54.8888444,,node,8477014269
IRN_ALIABAD,chimney,36.9457135,54.8891977,,node,8477014270
IRN_ALIABAD,chimney,36.9458738,54.8895652,,node,8477014271
IRN_ALIABAD,chimney,36.9460363,54.8899411,,node,8477014272
IRN_RAJAEE,chimney,36.1542976,50.2838474,,node,9773399175
IRN_RAJAEE,chimney,36.1536412,50.2834869,,node,9773399176
IRN_RAJAEE,chimney,36.1532874,50.2833037,,node,9773399177
IRN_RAJAEE,chimney,36.1526284,50.2829726,,node,9773399178
IRN_RAJAEE,chimney,36.152734,50.2826525,,node,9773399179
IRN_RAJAEE,chimney,36.1533728,50.282986,,node,9773399180
IRN_RAJAEE,chimney,36.1537416,50.2831714,,node,9773399181
IRN_RAJAEE,chimney,36.1543874,50.2835196,,node,9773399182
IRN_RAJAEE,chimney,36.1549957,50.2842584,,node,9773399183
IRN_RAJAEE,chimney,36.1551035,50.2839129,,node,9773399184
IRN_RAJAEE,chimney,36.1556556,50.2845821,,node,9773399185
IRN_RAJAEE,chimney,36.1557505,50.284259,,node,9773399186
IRN_BANDARABBAS,chimney,27.1444696,56.1116979,,node,11788455022
IRN_BANDARABBAS,chimney,27.1447191,56.1121708,,node,11788455023
IRN_SHAZAND,cooling_tower,34.0006637,49.4970041,70,way,376277946
IRN_SHAZAND,cooling_tower,34.0012321,49.4987282,70,way,376277948
IRN_SHAZAND,cooling_tower,34.0020411,49.4962563,70,way,376277949
IRN_SHAZAND,cooling_tower,34.002638,49.4979503,70,way,376277950
IRN_SHAZAND,chimney,33.9969882,49.4993648,70,way,376278030
IRN_SHAZAND,chimney,33.9978921,49.5005115,70,way,376278031
