plant_id_eia,plant_name_eia,state,latitude,longitude,capacity_mw,fuel
IRN_DAMAVAND,Damavand CC,IRN,35.4156,51.8510,2800,Gas
IRN_RAJAEE,Shahid Rajaee,IRN,36.1595,50.2997,2040,Gas
IRN_KERMAN,Kerman CC,IRN,30.2100,56.7932,1912,Gas
IRN_RAMIN,Ramin Ahwaz,IRN,31.5027,48.8830,1903,Oil
IRN_NEKA,Neka (Shahid Salimi),IRN,36.8387,53.2593,1780,Oil
IRN_MONTAZERI,Shahid Montazeri Isfahan,IRN,32.7952,51.4959,1600,Oil
IRN_SHIRVAN,Shirvan CC,IRN,37.3397,58.0486,1404,Gas
IRN_KAZEROON,Kazeroon CC,IRN,29.5633,51.6960,1372,Gas
IRN_SHAZAND,Shazand Arak,IRN,34.0000,49.5000,1300,Oil
IRN_BANDARABBAS,Bandar Abbas,IRN,27.1467,56.1153,1280,Oil
IRN_FARS,Fars CC,IRN,29.3587,52.6155,1034,Gas
IRN_ALIABAD,Aliabad,IRN,36.9443,54.8902,1000,Gas
IRQ_SHEMAL,Al-Shemal,IRQ,36.0547,43.2961,2100,Oil
IRQ_ANBAR,Al-Anbar,IRQ,33.5337,43.0260,1643,Gas
IRQ_ERBIL,Erbil Gas,IRQ,36.0084,43.9169,1500,Gas
IRQ_MUSSAIB,Al-Mussaib,IRQ,32.8407,44.2749,1280,Oil
IRQ_SHATTBASRA,Shatt Al-Basra,IRQ,30.1859,47.8370,1250,Gas
