plant,name,country,capacity_mw,fuel,mean_enh_umol_m2,t_stat,detectable,enh_at_plant_2025,peak_within_45km,peak_dist_km,flags,contaminated,n_days,n_war,idx_war,idx_same_window_2025,idx_pre60,idx_post60,placebo_p_low,placebo_sd,implied_rel_nox,implied_lo80,implied_hi80,idx_jun2025_war,so2_mean_enh_umol_m2,so2_t
IRN_DAMAVAND,Damavand CC,IRN,2800,Gas,155.1562708501393,24.760900631094103,True,221.50890732300962,598.0169888686554,44.44684741995409,stronger NO2 peak 44 km away,True,359,11,0.2939927324349616,0.3303764513152799,0.6341265887667018,0.46632552333627136,0.02702702702702703,0.3507502753780449,0.7020332102645217,0.2943904490616757,1.1072306734887714,0.826611958738453,1.2028397512532982,0.23238167246146765
IRN_RAJAEE,Shahid Rajaee,IRN,2040,Gas,48.6440983405848,19.430403811166407,True,120.4768249910822,174.50757263795987,0.0,city Qazvin (0.3M) <30km,True,342,8,0.4952858788932454,1.048556049077202,0.1668324545813516,0.8126736828866178,0.0,0.25127132108125977,0.7869879627174107,0.3793452015145647,1.1921854259416602,1.4974483339193578,113.24257088150944,13.625890429907615
IRN_KERMAN,Kerman CC,IRN,1912,Gas,61.82390019498207,27.787384213754454,True,84.11983501910191,139.0169685712827,5.14395079157837,city Kerman (0.6M) <30km,True,279,16,0.4467966649549868,0.8232306546500944,0.8486217730765466,0.8548061781405684,0.0,0.28073911174397315,0.7665233356834563,0.35888057448061034,1.1717207989077059,0.5158171250402218,-12.243339008041957,-1.5367894076460482
IRN_RAMIN,Ramin Ahwaz,IRN,1903,Oil,16.64125873631016,20.497594939449137,True,27.888177648280607,87.69119543650794,25.385442633425775,stronger NO2 peak 25 km away; city Ahvaz (0.8M) <30km; manual: Ahvaz city + oil-field flaring,True,374,14,0.6085252892139675,0.7529275701181795,0.7762793681120403,1.2593593782787778,0.02564102564102564,0.20155950744407916,0.8347800820268567,0.42713732082401074,1.2399775452511064,1.0724597916131604,33.56905247191436,3.747562529662409
IRN_NEKA,Neka (Shahid Salimi),IRN,1780,Oil,43.48200321995349,22.601124097027512,True,24.760268978641037,51.81714414011034,36.314427953935365,stronger NO2 peak 36 km away,True,215,11,0.44958665693259897,0.6722696232947324,1.0267019391413623,0.9251297910270564,0.0,0.249985223798371,0.7677008376599218,0.3600580764570758,1.1728983008841714,,122.16664509553264,12.806843602912474
IRN_MONTAZERI,Shahid Montazeri Isfahan,IRN,1600,Oil,100.28874259907407,27.708807419847933,True,168.69799902011073,220.4669589733853,0.0,city Isfahan (1.5M) <30km; manual: Isfahan refinery adjacent + Isfahan city,True,324,9,0.6400739865846152,0.6688093911105469,1.038243345636575,0.7535329898673356,0.0,0.1861845008110025,0.8480950498858838,0.4404522886830378,1.2532925131101333,0.7735455926734839,210.2728959205764,16.229216859472128
IRN_SHIRVAN,Shirvan CC,IRN,1404,Gas,35.12173503607143,32.13537239852546,True,74.18617859856013,103.92833484324133,0.0,,False,280,8,0.4981925558818487,0.87469183707202,0.8902826129638889,0.688923148273696,0.0,0.17269522790963182,0.7882147110114888,0.3805719498086428,1.1934121742357384,1.12211377247909,5.529987622091503,1.5275421392196293
IRN_KAZEROON,Kazeroon CC,IRN,1372,Gas,47.5044962031477,33.830160523098044,True,80.35045939473692,125.24152120653756,3.385304951349141,,False,413,11,0.29439501955334535,0.9595887342432303,0.8752992969141694,0.6453297746024491,0.0,0.1906122708015512,0.7022029935043319,0.2945602323014859,1.1074004567285816,1.1553062091157482,-77.66086707444444,-12.234583586698943
IRN_SHAZAND,Shazand Arak,IRN,1300,Oil,44.83123736510792,26.119655325225082,True,74.1678179639184,113.80838828518617,10.432977458119032,city Arāk (0.5M) <30km; manual: Arak (Shazand) refinery adjacent,True,278,11,0.5555574547089116,0.6816382377340559,1.1169772202864494,0.8198420818059382,0.029411764705882353,0.25162549669696066,0.8124252758771342,0.4047825146742882,1.2176227391013839,1.2543278584379136,181.3298723057239,14.910640038894817
IRN_BANDARABBAS,Bandar Abbas,IRN,1280,Oil,67.4333595807175,38.936223352326486,True,104.19100830345806,173.76719458081573,5.209783831120293,city Bandar Abbas (0.4M) <30km; manual: refinery + port city,True,446,20,0.5993069855493911,1.0045774863451025,0.9641265066651039,1.153656996149779,0.0,0.23971242307758472,0.8308895436769981,0.4232467824741521,1.2360870069012477,1.4877013619569892,122.20598759649573,18.165162525204707
