plant,n,r_actual,r_lag1y,r_nox_autocorr_1y
126,18,-0.37839786881903914,-0.5312350948628981,0.6162447104401
160,19,0.5175524974176093,0.11054802323964254,-0.23764998277876098
628,13,0.7140297212810119,0.1570382411810872,0.25899918564900754
641,12,0.10546665815145195,-0.02314636155589644,0.7070950576219721
703,15,0.7125486085972369,0.5160392122124252,0.6879333762822082
1001,11,0.7900134544627792,0.6780084484332733,0.968679936091356
1379,14,0.3816225131708582,0.00647594777857351,0.4316525673425751
1403,13,0.41140262691390284,-0.13616447185844327,-0.11603230783685435
2103,15,0.2874531051304324,-0.43517594044787955,-0.30288365153988417
2107,16,0.35744693810893996,-0.23169927601346682,-0.3668243659775842
2168,19,0.72317799678408,0.38610003657526343,0.5216031508333667
2277,19,0.5692341450656906,0.31553559207392967,0.7234648990735756
2442,15,0.5313323896984882,0.49215879851210514,0.40744820612936467
2727,12,0.8271041858316439,0.45084022566315324,0.49724311420435197
3399,17,0.42675142311159275,0.34855245773264815,0.593997196418399
3482,24,0.4051185951673189,0.23629053550923473,0.27793748212502206
4158,10,0.8108700775643234,-0.5499880683477246,-0.682439297558529
6002,13,0.25365179066068916,0.12605116247642512,0.2471066553133529
6021,10,0.7726885973973688,0.5498716055453718,0.7894507484290688
6076,17,0.8546123700946018,0.6817046604977848,0.7603795191455103
6077,20,0.5227237621752084,0.4533573062150249,0.686178644173041
6090,11,0.22333229988306688,-0.022753788020762524,-0.01658001743596965
6096,17,0.3003492863824037,0.16117257534189103,0.12653679100945267
6138,20,0.3077340953434037,0.21010090490238817,0.3206565820029861
6139,17,0.7112313183728532,0.3219796465072239,0.4570919134104193
6146,16,0.11305364549914834,-0.3648529906421535,0.3480363553407011
6179,18,0.6626756360093494,0.6806125795406712,0.8130369981169191
6190,13,0.46755982615519015,0.20725144084131467,-0.23140330031084655
6204,12,0.4715738714183245,0.3835795202455975,0.24465592906367822
6257,12,0.6585026832915665,0.7049219606979605,0.89636420074618
6481,12,0.8840178394594889,0.1575726116819672,0.30727542693270943
6641,16,0.7187110043802666,-0.203888810407721,0.3229913529193234
8042,11,0.534330336001616,-0.37862045519940424,0.3496318978975152
8066,15,0.6318704953306072,0.6312953598665416,0.6522272107764366
58215,16,0.07077282028082346,-0.11126580629471733,-0.044502142779093826
