plant,group,n,cf_mean,cf_sd,spearman_raw,spearman_model,spearman_units_on,mae_cf,bias_cf
Bayswater,natural_draft,92,0.41952533324420466,0.13870589161691166,0.49567050755514486,0.4025399565371514,0.27712959692106914,0.14398827598624994,-0.11332377376455387
Callide,mixed,94,0.39518028643341035,0.14722137049775183,0.4215135374873596,0.3423545136004046,0.25806263938123875,0.23201666365358387,-0.21096453805697338
Eraring,once_through_control,148,0.4200525556257232,0.1867275889300159,-0.23280125471204668,-0.23020911611515643,-0.15596852365269256,0.24630437172942257,-0.20985730143334655
Kogan Creek,air_cooled_control,241,0.5862030014510617,0.20687151671119303,0.01188862618924168,0.0028341032214390643,-0.1142020061538427,0.32930686147042304,-0.25403662429978047
Loy Yang,natural_draft,50,0.6482547783545378,0.20621965081149965,0.6473935714445583,0.701704681872749,0.26846866504126243,0.3010172143957041,-0.29759908733351265
Millmerran,air_cooled_control,105,0.5732062184961761,0.15506832644459762,0.03227187080710445,-0.032790794111548824,0.07841924121438983,0.3154978336630951,-0.29546206347855825
Mt Piper,natural_draft,77,0.33574294132961735,0.15597561026569381,0.631104939729636,0.5954308849045691,0.4009033749488796,0.10888759684032172,-0.00445398110030853
Stanwell,natural_draft,75,0.4749028896318333,0.10840198950347864,0.367094317494037,0.3214509246088193,0.3760411642312991,0.21840991405043927,-0.21206802606818728
Tarong,natural_draft,76,0.5384773653875254,0.11695049074452583,-0.01201977361443393,0.02280246069719754,-0.019765615630139077,0.15695572478881714,-0.127139754841081
Yallourn,natural_draft,54,0.5755871865351391,0.17379573872757492,0.6544421841225576,0.6302649132837812,0.3104447928516777,0.20584795806751707,-0.1961468714103655
