plant_id_eia,plant_name_eia,state,latitude,longitude,fuel,nox_lbs_h,so2_lbs_h,mean_mw,iso
6076,Colstrip,MT,45.8831,-106.614,coal,1776.0347254098333,1018.7312848360664,1134.1614298724955,0.0
6146,Martin Lake,TX,32.2606,-94.5706,coal,1763.214963683969,2255.4849996584726,1228.1553961748634,0.2353721305852835
6257,Scherer,GA,33.0606,-83.8075,coal,1643.2121293260504,230.57809779143935,923.0202641165756,0.0165352879100774
6481,Intermountain Power Project,UT,39.509731,-112.58018,coal,1634.5814549180302,374.23992201730425,707.5618169398907,0.0
2103,Labadie,MO,38.562244,-90.837686,coal,1527.9548455145748,7445.224448087415,1730.199339708561,0.0009565401067742
1379,Shawnee,KY,37.1517,-88.775,coal,1481.9577617258628,2857.650754212199,725.6993397085611,0.0857855641595473
6002,James H Miller Jr,AL,33.6319,-87.0597,coal,1374.1645292577418,214.2645007969036,2265.243966302368,0.0
6077,Gerald Gentleman,NE,41.0808,-101.1408,coal,1346.540220856102,4671.434090391624,795.4158697632058,0.0
2168,Thomas Hill,MO,39.5522,-92.6381,coal,1336.7266203324236,2387.330473132969,665.0852686703097,0.0005327118897036
6034,Belle River,MI,42.7756,-82.495,coal,1321.524218693077,3628.571825022774,762.6207877959927,0.1888506382534489
703,Bowen,GA,34.1256,-84.9222,coal,1316.8400471311495,1857.1469515027352,1334.0285746812383,0.1190706332158689
1364,Mill Creek (KY),KY,38.0525,-85.9103,coal,1243.6420162795987,1110.1986787340609,874.7071948998179,0.0949878426488915
6641,Independence Steam Electric Station,AR,35.678442,-91.408761,coal,1210.8074390938068,3108.6259863387936,654.1370673952641,0.0
6179,Fayette Power Project,TX,29.9172,-96.7506,coal,1203.8662099271403,163.71874271402552,880.3514344262295,0.1664205157242938
6139,Welsh,TX,33.05522,-94.839993,coal,1127.5430130919856,2989.464953893439,533.9212204007285,0.2153107943457472
1001,Cayuga,IN,39.9242,-87.4244,coal,1117.351357126595,526.2712949681242,530.9117714025501,0.0873554079536212
