plant,n_days,mean_enh,t,detectable,r_daily_overpass,r_30d_all,n_nonoverlap,r_30d_nonoverlap,cv_mw_30d
AU_BAYSWATER,188,55.41743058138298,26.32816636558715,True,0.31651442704128785,0.2991263704638829,18,0.35695741947991333,0.1257339536655105
AU_CALLIDE,232,15.719924168103448,26.18538471210719,True,0.33458948642245234,0.7644519528046657,19,0.7829909040251724,0.29661097473141895
AU_ERARING,212,28.71165501235849,20.862753114527848,True,0.2232100833180225,0.47996441658618366,19,0.5193934550713423,0.16460571519956116
AU_KOGAN,289,3.783459386871972,19.598369008947667,True,0.2934736664394956,0.32154677707122326,23,0.3096047361973475,0.2229696616954616
AU_LOYYANG,143,35.936019692307696,22.21225314504317,True,0.4546737216194525,0.7475502147305677,12,0.7154965119819912,0.09650511137770743
AU_MILLMERRAN,271,6.570760745889299,24.601826810811005,True,0.23006970192260157,0.2283471936321061,24,0.342505106419278,0.13576131765623847
AU_MTPIPER,168,9.350936412583334,16.615557388744662,True,0.3762744879736959,0.6256391054365642,17,0.6891574828496658,0.20152376006863093
AU_STANWELL,252,18.248144582936508,26.32363498558978,True,0.2935088158767585,0.736270685811504,23,0.8698048557865719,0.12520946390680882
AU_TARONG,218,14.728243126123854,26.761946199482207,True,0.25950723724100794,0.04670957963565473,19,-0.09429783341943226,0.14104854625195365
AU_YALLOURN,149,25.193240937986577,18.08268323184144,True,0.4135150057710708,0.3059153694501144,12,0.3305333550263781,0.14610730459198248
