plant,day,enh,flux,ws,bg,simple,temp
AU_LOYYANG,2024-07-03,52.254448,221.5588592529297,4.24,9.050781,22.978863,10.3
AU_LOYYANG,2024-07-07,8.32954,13.827036819458007,1.66,33.0625,45.24169,11.4
AU_LOYYANG,2024-07-26,28.496983,37.616016998291016,1.32,23.515625,36.408104,12.5
AU_LOYYANG,2024-07-28,19.032326,228.0072624206543,11.98,-1.9677734,5.0255146,9.2
AU_YALLOURN,2024-07-02,15.822174,15.505730590820312,0.98,53.96875,68.07561,10.5
AU_YALLOURN,2024-07-03,49.532505,262.5222766876221,5.3,13.2578125,68.37003,10.6
AU_YALLOURN,2024-07-06,46.466885,149.6233684539795,3.22,16.984375,57.219276,10.3
AU_YALLOURN,2024-07-07,6.9300804,8.31609649658203,1.2,38.75,50.11229,11.5
AU_YALLOURN,2024-07-23,18.455887,113.31914520263672,6.14,20.265625,-0.90969276,16.5
AU_YALLOURN,2024-07-26,30.69524,59.548765640258786,1.94,22.921875,14.211201,14.6
AU_YALLOURN,2024-07-30,183.83531,143.39154327392578,0.78,29.265625,276.77515,10.0
AU_YALLOURN,2024-07-31,45.54243,223.1579113006592,4.9,16.417969,48.792374,11.8
AU_BAYSWATER,2024-07-12,68.20514,235.30773010253907,3.45,11.2890625,26.67841,16.6
AU_BAYSWATER,2024-07-15,35.25656,395.9311831665039,11.23,3.3789062,10.579798,11.5
AU_BAYSWATER,2024-07-20,18.445232,267.08696502685547,14.48,17.046875,7.253786,14.9
AU_BAYSWATER,2024-07-21,37.126892,331.9144152832031,8.94,9.1328125,22.076286,13.9
AU_BAYSWATER,2024-07-22,66.2533,253.7501525115967,3.83,21.140625,48.222733,16.1
AU_BAYSWATER,2024-07-23,69.147026,340.2033682250977,4.92,40.03125,36.628677,16.7
AU_BAYSWATER,2024-07-24,80.289825,431.9592608642578,5.38,17.140625,56.797485,17.8
AU_BAYSWATER,2024-07-26,63.303825,346.90496307373047,5.48,12.7421875,36.6479,18.9
AU_BAYSWATER,2024-07-28,20.595251,232.9322897529602,11.31,-1.4394531,7.388385,12.1
AU_BAYSWATER,2024-07-29,51.313766,165.23032806396486,3.22,8.0234375,39.044193,13.5
AU_MTPIPER,2024-07-21,12.885063,130.65454055786134,10.14,1.9316406,8.379854,6.6
AU_MTPIPER,2024-07-23,10.544319,30.15675277709961,2.86,37.65625,1.8802071,10.7
AU_MTPIPER,2024-07-24,8.933397,44.75632043838501,5.01,11.671875,-3.2063227,12.2
AU_MTPIPER,2024-07-26,11.357222,42.362436580657956,3.73,5.8007812,1.5207472,11.3
AU_MTPIPER,2024-07-29,11.972034,89.4310973739624,7.47,4.9296875,1.6722579,6.0
AU_MTPIPER,2024-07-30,9.939388,42.73936958312988,4.3,14.046875,8.074793,9.2
AU_MTPIPER,2024-07-31,9.816705,43.48800204277038,4.43,3.9003906,2.0604677,9.5
AU_STANWELL,2024-07-07,10.509226,101.51912166595459,9.66,12.9296875,7.179611,22.0
AU_STANWELL,2024-07-11,8.310612,5.235685386657715,0.63,25.28125,19.138805,23.9
AU_STANWELL,2024-07-13,12.057402,81.99033126831054,6.8,4.453125,4.3362246,20.3
AU_STANWELL,2024-07-15,32.160393,135.71685745239256,4.22,10.6328125,9.358246,17.6
AU_STANWELL,2024-07-16,15.377684,92.88120918273925,6.04,13.824219,6.4998665,18.9
AU_STANWELL,2024-07-17,24.232483,114.61964416503908,4.73,15.09375,8.663603,16.7
AU_STANWELL,2024-07-18,15.919409,100.1330813407898,6.29,14.8671875,9.0064335,15.8
AU_STANWELL,2024-07-19,19.548931,55.71445369720459,2.85,17.773438,16.022213,18.6
AU_STANWELL,2024-07-20,6.351021,28.516083450317385,4.49,28.609375,2.8647366,21.8
