ba,n_plants,target,n_days,r_daily,r_daily_tempcorr,n_daily,r_weekly,r_weekly_tempcorr,n_weekly,r_monthly,r_monthly_tempcorr,n_monthly,r_monthly_deseasonalised
CPLE,4,fossil,556,0.2901639449080328,0.29570786097674184,556,0.47793136466974484,0.4618409101141654,114,0.5185064742370686,0.4577056604092837,36,0.05908426010899569
CPLE,4,coal,556,0.30931153336991996,0.32268229074715693,556,0.5275680530178464,0.5209712778361049,114,0.6105516511405424,0.5616676093441709,36,0.2770319282741971
DUK,5,fossil,505,0.22318599153020646,0.25388302852747946,505,0.3601287431371816,0.4305096926984636,98,0.26725318925988967,0.47922518872740694,34,-0.15000907188217738
DUK,5,coal,505,0.26800624392246936,0.28430000450867343,505,0.45214081682350904,0.4979031878448656,98,0.3847791091422897,0.5726411717309896,34,0.2043833017668765
ERCO,30,fossil,596,0.08093115080957965,0.25131807722176613,596,-0.1483307644968792,0.1293578831047607,108,-0.29421701659962024,0.04400686129134729,35,0.5527877948939387
ERCO,30,coal,596,0.09928458918728025,0.21435545359823555,596,-0.023257251711245527,0.1489375849439534,108,-0.05303191625509499,0.20336147697423498,35,0.194519514555532
FPC,4,fossil,620,-0.035678777999767895,0.10064636088281616,620,-0.17341219065390484,0.08175390809269276,126,-0.18403807064049973,0.28207934127792067,36,-0.022957286654965
FPC,4,coal,620,0.06035582902419032,0.09424354886811297,620,-0.006111568456063282,0.07336663956963776,126,0.21124217838039494,0.4140133786291218,36,0.2960161995805145
FPL,5,fossil,368,-0.06186519361588886,0.013194733889560509,368,-0.20599461678396766,-0.08299192887792996,64,-0.23466172499100954,0.009841176907169819,23,0.15997739322563587
MISO,63,fossil,436,0.14542901655242313,0.2709897189407837,436,-0.011602211728258496,0.22748946366511366,82,0.07165724563371306,0.41603237504816903,31,0.5599982265474999
MISO,63,coal,436,0.20170222234164248,0.25243308903883005,436,0.11562190769444132,0.2300111880537241,82,0.21374618286475489,0.4456766246057817,31,0.6065047089616384
NYIS,6,fossil,493,-0.04249555893098676,0.05495579982567436,493,-0.14057204823652542,0.008525313173875206,104,-0.32005047174905704,-0.21093219020102214,35,0.23992679916758142
PACE,7,fossil,582,0.2843926147114114,0.41335985021344057,582,0.2975803127455351,0.472877732157539,116,0.3245810921471288,0.5013132490200424,36,0.20461185469952387
PACE,7,coal,582,0.318213901717988,0.44480850812118733,582,0.33349134893467375,0.5085156972308722,116,0.36341469830972606,0.5434078499681432,36,0.375301335628087
PJM,40,fossil,370,0.10679921963068316,0.15456724381652914,370,-0.14262510071428172,0.03587947864367322,65,-0.09904742393505653,0.057909060723064704,29,0.2954622938535545
PJM,40,coal,370,0.15696134826176888,0.14690258683579055,370,-0.054115231357460825,0.07812989325916465,65,-0.050735572631282116,0.050480888048545045,29,0.22491485681985202
SOCO,10,fossil,487,0.07242164465551032,0.07258313676398535,487,0.0437007385822189,0.05910063076290868,97,-0.06784687541560087,0.004829393926692002,32,0.44839609332725
SOCO,10,coal,487,0.1054257873102632,0.08867097943945496,487,0.1344185567442305,0.12044766345212912,97,0.06297973213794097,0.11225606651488171,32,0.4973983856191905
SWPP,41,fossil,658,0.31668129565142406,0.4896676879715711,658,0.25610264581206266,0.5533151173253779,123,0.14054519247418723,0.6529108871987318,36,0.20610845545521306
SWPP,41,coal,658,0.3677578715263531,0.4676522045801852,658,0.3457457050489251,0.521240647058184,123,0.29468887275310485,0.6427084480009313,36,-0.0979416058873087
TVA,7,fossil,473,0.18208724292711187,0.17229181206275873,473,0.24810814605763723,0.26376480912200106,96,0.2892222751460475,0.4022869659648636,35,-0.10039106890758281
TVA,7,coal,473,0.2090294236200165,0.220033233710049,473,0.3423889624482285,0.3648181397981235,96,0.35597780936322,0.4934679647191452,35,0.2795260873710764
WACM,7,fossil,561,0.2569177453240938,0.31217850226879973,561,0.30110969898021217,0.41231963460405496,117,0.44553874217532585,0.641424675167017,33,0.5495803469513895
WACM,7,coal,561,0.2843580116598833,0.32982707962079594,561,0.35750790703748125,0.4524557332608258,117,0.5216004073822771,0.6998268466951347,33,0.6272081899816602
