plant,month,n,rate,area,T
IRN_ALIABAD,2024-11,1,0.0,0.0,
IRN_ALIABAD,2025-02,1,0.0,0.0,7.8
IRN_ALIABAD,2025-03,1,0.0,0.0,22.9
IRN_ALIABAD,2025-04,2,0.0,0.0,29.45
IRN_ALIABAD,2025-06,2,0.0,0.0,28.5
IRN_ALIABAD,2025-11,1,0.0,0.0,19.2
IRN_ALIABAD,2026-01,1,0.0,0.0,9.9
IRN_ALIABAD,2026-02,1,0.0,0.0,19.1
IRN_ALIABAD,2026-03,1,0.0,0.0,14.7
IRN_ALIABAD,2026-04,1,0.0,0.0016,18.8
IRN_ALIABAD,2026-06,3,0.0,0.0,28.8
IRN_ALIABAD,2026-07,1,0.0,0.0,30.1
IRN_BANDARABBAS,2024-10,5,0.4,0.20928,
IRN_BANDARABBAS,2024-11,5,1.0,0.37376,
IRN_BANDARABBAS,2024-12,6,1.0,0.49666666666666665,
IRN_BANDARABBAS,2025-01,3,1.0,0.057066666666666675,21.666666666666668
IRN_BANDARABBAS,2025-02,2,1.0,0.224,22.35
IRN_BANDARABBAS,2025-03,6,0.3333333333333333,0.006533333333333333,26.849999999999998
IRN_BANDARABBAS,2025-04,5,0.4,0.051680000000000004,31.72
IRN_BANDARABBAS,2025-05,7,0.0,0.0016,36.05714285714286
IRN_BANDARABBAS,2025-06,7,0.2857142857142857,0.014628571428571427,38.199999999999996
IRN_BANDARABBAS,2025-07,4,0.5,0.0525,38.0
IRN_BANDARABBAS,2025-08,4,0.25,0.0073999999999999995,36.699999999999996
IRN_BANDARABBAS,2025-09,4,0.25,0.0087,34.75
IRN_BANDARABBAS,2025-10,7,0.7142857142857143,0.07091428571428572,32.31428571428571
IRN_BANDARABBAS,2025-11,6,0.3333333333333333,0.015733333333333332,28.133333333333336
IRN_BANDARABBAS,2025-12,4,1.0,0.101,22.65
IRN_BANDARABBAS,2026-01,4,1.0,0.3268,19.125
IRN_BANDARABBAS,2026-02,4,1.0,0.2428,24.575
IRN_BANDARABBAS,2026-03,2,0.0,0.0012,27.2
IRN_BANDARABBAS,2026-04,2,0.0,0.0038,25.65
IRN_BANDARABBAS,2026-05,8,0.375,0.01345,36.4
IRN_BANDARABBAS,2026-06,5,0.4,0.01224,37.8
IRN_BANDARABBAS,2026-07,7,0.5714285714285714,0.024171428571428573,38.528571428571425
IRN_BANDARABBAS,2026-08,6,0.5,0.05279999999999999,39.016666666666666
IRN_BANDARABBAS,2026-09,1,1.0,0.062,
IRN_DAMAVAND,2024-10,5,0.0,0.0028799999999999997,
IRN_DAMAVAND,2024-11,4,0.0,0.0,
IRN_DAMAVAND,2024-12,3,0.0,0.0033333333333333327,
IRN_DAMAVAND,2025-01,4,0.25,0.0054,8.575
IRN_DAMAVAND,2025-02,1,0.0,0.0012,6.1
IRN_DAMAVAND,2025-03,3,0.0,0.00013333333333333334,12.1
IRN_DAMAVAND,2025-04,6,0.0,0.0,24.066666666666666
IRN_DAMAVAND,2025-05,8,0.0,0.0001,30.4125
IRN_DAMAVAND,2025-06,6,0.0,0.0,31.583333333333332
IRN_DAMAVAND,2025-07,7,0.0,0.0044,35.75714285714286
IRN_DAMAVAND,2025-08,7,0.0,0.0036,33.885714285714286
IRN_DAMAVAND,2025-09,7,0.0,0.0018857142857142857,28.814285714285713
IRN_DAMAVAND,2025-10,8,0.0,0.0003,25.3625
IRN_DAMAVAND,2025-11,6,0.16666666666666666,0.003933333333333334,17.9
IRN_DAMAVAND,2025-12,2,0.0,0.0012000000000000001,12.05
IRN_DAMAVAND,2026-01,6,0.16666666666666666,0.0148,6.8500000000000005
IRN_DAMAVAND,2026-02,3,0.3333333333333333,0.13893333333333333,15.0
IRN_DAMAVAND,2026-03,2,0.5,0.0238,14.0
IRN_DAMAVAND,2026-04,6,0.0,0.0,20.05
IRN_DAMAVAND,2026-05,6,0.0,0.0009333333333333333,27.55
IRN_DAMAVAND,2026-06,7,0.0,0.0004571428571428571,32.6
IRN_DAMAVAND,2026-07,6,0.0,0.002533333333333333,36.483333333333334
IRN_DAMAVAND,2026-08,8,0.0,0.00045,34.925
IRN_DAMAVAND,2026-09,4,0.0,0.001,31.349999999999998
IRN_FARS,2024-10,6,0.0,0.001,
IRN_FARS,2024-11,5,0.0,0.0004,
IRN_FARS,2024-12,3,0.0,0.0,
IRN_FARS,2025-01,3,0.0,0.0,6.533333333333334
IRN_FARS,2025-02,2,0.0,0.0,8.5
IRN_FARS,2025-03,2,0.0,0.0,16.05
IRN_FARS,2025-04,3,0.0,0.0,26.833333333333332
IRN_FARS,2025-05,7,0.0,0.0,31.071428571428573
IRN_FARS,2025-06,3,0.0,0.0,32.800000000000004
IRN_FARS,2025-07,5,0.0,0.00024000000000000003,35.2
IRN_FARS,2025-08,6,0.0,0.0003333333333333333,32.266666666666666
IRN_FARS,2025-09,6,0.0,0.0006,31.3
IRN_FARS,2025-10,8,0.0,0.0,24.675
IRN_FARS,2025-11,6,0.0,0.0,17.266666666666666
IRN_FARS,2025-12,4,0.0,0.0009,12.3
IRN_FARS,2026-01,5,0.0,0.0,9.1
IRN_FARS,2026-02,3,0.0,0.00013333333333333334,14.799999999999999
IRN_FARS,2026-03,2,0.0,0.0015999999999999999,13.2
IRN_FARS,2026-05,8,0.0,0.0,29.55
IRN_FARS,2026-06,4,0.0,0.0,34.625
IRN_FARS,2026-07,8,0.0,0.0,35.6375
IRN_FARS,2026-08,8,0.0,0.0,33.925
IRN_FARS,2026-09,5,0.0,0.0,32.93333333333334
