contrast,mean,lo95,hi95,p_gt0
rho(weather-normalised) - rho(raw area/GW),0.011059740553209591,-0.015382327762649348,0.03688739196075536,0.783
rho(mono img+wx) - rho(mono img),0.07023900758835999,0.031760347747457215,0.10437332291092907,1.0
AUC(clf img+wx) - AUC(clf img),0.017304575504119873,0.001364493269753667,0.03598830683863409,0.982
AUC(clf img+wx) - AUC(raw area/GW),0.06484705316806759,0.038541793142894666,0.09520299664380064,1.0
