lat,lon,enh_umol_m2,ndays,gppd_mw_within_25km,gppd_names,city_within_30km,orphan
30.392,47.737,85.3,523,2002.0,Shatt Al-Basra; Al-Najybia; Khor Al Zubayr,Basrah(1326k); Abū al-Kahṣīb(357k),False
28.468,36.538,84.6,570,1127.4000000000005,TABUK-2; TABUK-1; TABUK-3,Tabuk(667k),False
25.177,51.483,84.1,558,6037.0,Mesaieed CCGT Power Plant Qatar; Qatalum CCGT Power Plant Qatar; Ras Abu Fontas A OCGT Cogen Power Plant Qatar,Doha(344k); Ar Rayyān(272k),False
24.302,54.528,83.6,573,2430.0,APC UAN,Abu Dhabi(1807k); Musaffah(243k),False
34.067,49.663,83.3,464,1300.0,Shazand,Arāk(503k),False
23.987,38.322,82.5,570,2293.1,YANBU PLANT; YANBU PLANT 2; YANBU (SWCC),Yanbu(200k),False
29.133,55.368,81.8,515,0.0,,,True
21.467,39.303,81.2,566,2896.9,JEDDAH NO.3; JEDDAH (SWCC); JEDDAH NO.2,Jeddah(4697k),False
37.358,57.993,80.9,471,1404.0,Shirvan,,False
36.657,49.487,78.7,446,120.0,Lousan (Shahid Beheshti),,False
34.383,47.422,77.7,425,1288.0,Zagros; Bistoon,,False
22.622,39.163,75.8,569,9308.3,RABIGH; RABIGH-2; RABEC P/P,,False
26.297,50.047,75.3,548,1586.6999999999998,Alkhobar; DAMMAM,Dammam(1252k); Thuqbah(248k),False
25.877,51.553,72.8,516,4511.0,Ras Laffan C (Ras Qartas) CCGT Power Plant Qatar; Ras Laffan B CCGT Power Plant Qatar; Ras Laffan A Cogen GT Power Plant Qatar,,False
24.442,56.523,72.7,551,1957.0,Sohar Alumnium; Sohar; Wadi Jizzi,Sohar(108k),False
31.302,48.752,70.1,521,43.0,Zargan,Ahvaz(841k),False
32.002,44.377,69.3,540,250.0,Al-Najaf,Najaf(482k); Kufa(110k),False
26.087,50.608,69.0,545,7581.3,Alba Power Station; Al Dur Power and Water; Sitra Power an Water Station,Al Muharraq(176k); Manama(147k),False
35.572,45.428,67.7,439,0.0,,Sulaymaniyah(878k),False
36.938,54.913,67.4,329,1000.0,Aliabad Power Plant,,False
33.508,36.293,64.0,515,0.0,,Damascus(1569k); Dūmā(111k),False
38.547,48.193,63.9,402,954.0,Ardebil Sabalan,,False
31.932,35.977,61.7,519,1575.0,Amman East (AES Jordan) CCGT Power Plant Jordan; IPP3 ICE Power Plant Jordan; Hussein Thermal Power Plant Jordan,Amman(1275k); Zarqa(792k),False
32.248,51.448,60.7,517,418.0,South Isfahan (Chehelsotoon),,False
35.117,50.362,59.6,488,0.0,,Sāveh(220k),False
15.342,44.203,59.4,418,41.0,Dhaban,Sanaa(1937k),False
37.358,45.252,58.5,451,951.0,Orumia,Orūmīyeh(577k),False
