plant,country,fuel,so2_t,so2_winter,so2_summer,n_w,n_s,winter_t,summer_t,so2_war,so2_same_window_2025,n_war
IRN_DAMAVAND,IRN,Gas,0.2323816724614676,19.084014005000007,2.731366798825503,40,149,0.7726453084101731,0.5755766477519959,-65.45061141176471,-21.13296887499999,17
IRN_RAJAEE,IRN,Gas,13.625890429907615,286.1500250238095,108.40528291564101,42,156,5.956692168322226,15.847871441894739,90.71019678571429,121.0707002,14
IRN_KERMAN,IRN,Gas,-1.5367894076460482,-35.23799235,14.555657656535432,30,127,-0.7072590225185766,1.7044350577272958,3.829489294117645,2.7730275833333358,17
IRN_RAMIN,IRN,Oil,3.747562529662409,85.32465903666666,23.322336483481017,60,158,2.9556750196163275,2.490534712798336,-4.730827489473679,63.43610518749999,19
IRN_NEKA,IRN,Oil,12.806843602912474,219.9665547377049,74.90396895957446,61,94,7.3642954802598775,10.023060846890514,99.17602689411764,120.13530547619047,17
IRN_MONTAZERI,IRN,Oil,16.229216859472128,379.9598245416667,216.33348091589403,48,151,6.006901559108877,15.792491123231853,190.44866352499994,178.12096509750003,12
IRN_SHIRVAN,IRN,Gas,1.5275421392196291,0.07174927551020527,6.49973805112,49,125,0.004330282436327985,2.321231315080425,1.9424243846153837,29.013414469999997,13
IRN_KAZEROON,IRN,Gas,-12.234583586698944,-41.817221183544305,-108.0674861967742,79,155,-2.130007768302609,-12.319596596951591,-28.62127911764706,-79.22790341666666,17
IRN_SHAZAND,IRN,Oil,14.910640038894815,344.1082308484848,185.59687009521008,33,119,5.021108769581038,10.849595856035577,150.05990132,189.5566484525,15
IRN_BANDARABBAS,IRN,Oil,18.165162525204707,178.62836806206897,92.00297560598871,58,177,7.497733982417301,11.096504279317742,98.93983795833334,144.98987553333333,24
IRN_FARS,IRN,Gas,1.2716731063758937,15.582067753125,16.1624424501626,64,123,0.9118031696757675,4.051048554392771,11.72443270588235,-46.571371842105265,17
IRN_ALIABAD,IRN,Gas,-1.3954723317665292,-187.420115308,-8.448581515094338,25,53,-1.3782020194189155,-1.4028511345400176,0.2304006214285721,29.19450489555556,14
IRQ_SHEMAL,IRQ,Oil,6.078276794408375,20.139560417543862,90.72394367082192,57,146,0.4947598777701461,9.114570356444462,-7.556779741176477,153.44877823076925,17
IRQ_ANBAR,IRQ,Gas,3.519684109586762,3.2446946540229895,11.482556217730496,87,141,0.20849853653460612,2.013017426056708,-9.330012901499998,43.383980787884624,20
IRQ_ERBIL,IRQ,Gas,11.37867075832952,56.12362320392157,181.96771316300615,51,163,1.4233118634468742,11.020139523350005,132.40426433333334,150.70295876923078,15
IRQ_MUSSAIB,IRQ,Oil,15.295148870060627,170.39452815340908,145.72800855071426,88,140,5.725582847619903,11.975551623405535,176.02177876,9.945138412000004,25
IRQ_SHATTBASRA,IRQ,Gas,8.772056958339288,33.43024250510204,96.95002055953272,98,107,1.6840400091359269,9.77909662054603,103.82019895454549,58.29348056250001,22
SAU_SHOAIBA,SAU,Oil,11.528884450799914,96.58640326322316,222.36067251609197,121,87,3.621483817749069,13.817406569988696,119.00060495,144.55943675666668,20
SAU_RABIGH,SAU,Oil,16.659932291481795,281.8463374681818,264.7769331640625,110,128,9.204709159446233,16.828961501005622,334.2568938888889,260.79454649999997,27
SAU_GHAZLAN,SAU,Gas,1.1690201406930172,2.780842310000003,15.902587838983049,80,118,0.10550646313479546,1.1287335707491448,74.09397691111113,-13.872043399999992,18
SAU_QURAYYAH,SAU,Gas,-2.262404290345298,-14.930979395061726,-34.71565782853147,81,143,-1.0578588053786278,-2.7042965994653683,23.291736982608693,35.839581576923074,23
SAU_RIYADH9,SAU,Oil,10.376068126113134,12.323751933157897,90.50150519462068,95,145,1.19467265217127,10.823226834248098,45.007745652173924,47.26919377272727,23
SAU_RIYADH10,SAU,Oil,18.71647244994129,43.63721035773195,183.44794415,97,138,4.298647604095636,19.179745423582485,26.027487939130427,39.72024489831035,23
SAU_RIYADH1112,SAU,Gas,-0.5752765192279591,-30.489484009845356,2.610234777945206,97,146,-1.8657667351303302,0.6902987924612863,7.03488106,8.490664758333333,25
SAU_QASSIM,SAU,Oil,8.978402549706047,13.416382726435643,74.73872318082192,101,146,1.1346637077366084,13.846524738763966,21.26510212153846,21.48531816666667,26
SAU_JAZAN,SAU,Oil,11.52557158032356,68.61424309999998,62.788913689565206,127,115,4.696035780748293,5.308998856762151,41.22388415384615,80.76963103448274,26
SAU_RASALKHAIR,SAU,Gas,1.1370303424502295,60.05260555057472,-22.977686856296295,87,135,2.6925349541938157,-1.9635272012628022,60.364510985714276,-93.9942113142857,21
SAU_FARAS,SAU,Gas,0.0075118110875146,1.6912520919540235,6.418123661836735,87,147,0.10348940481452487,1.3422428625835705,11.724060409090912,-10.317513345833333,22
SAU_SHUQAIQ,SAU,Oil,28.289000013596095,307.6401584056075,352.0347629230769,107,91,11.341464812201599,14.534331672491595,322.50265355,271.1211290933333,20
SAU_JUBAIL,SAU,Gas,3.5655713927087898,20.67225479,54.56302604634146,84,123,0.9536890343086333,3.0892132396822327,106.98279101428571,22.619839042105266,21
KWT_AZZOUR,KWT,Gas,0.9590641940854672,12.183815528604653,-0.21255423087248365,86,149,0.693034396447037,-0.017049962633636596,-4.551809545454545,28.404130521904758,22
KWT_SABIYA,KWT,Gas,11.13685607836694,87.95382571578948,122.41791957933886,95,121,3.6065962687186035,8.354905158350686,11.728415629999997,191.0081741304348,20
KWT_DOHA,KWT,Gas,6.071748791709726,-18.225149165934063,114.40622097264956,91,117,-0.8393579983438635,8.763811378385805,12.321244190476184,16.112989089999996,21
QAT_RASLAFFAN,QAT,Gas,-0.7032759589670868,57.49722958255814,-53.945982151538466,86,130,3.611331703209473,-4.489936070069772,17.0755728,52.10843169444444,15
QAT_MESAIEED,QAT,Gas,2.969821643121004,51.40337875366666,-8.171376109420287,90,138,3.2993664254975807,-0.6128970453815983,19.20478414210526,95.05249116428571,19
ARE_SHUWEIHAT,ARE,Gas,2.0011391466986583,33.6348583125,1.6896422206250024,96,160,2.602786137067991,0.15642773628107556,52.92811845652174,47.4951777516129,23
ARE_MIRFA,ARE,Gas,0.87036990398247,-2.564311216057693,-2.2722626417449696,104,149,-0.2753872351546154,-0.17528661166437173,20.106663621052626,29.96946266785714,19
ARE_TAWEELAH,ARE,Gas,-2.2618814648793553,2.5343941943925232,-18.50966855156,107,170,0.25741612125433183,-2.1771304853325026,7.460505919230774,50.386514608,26
ARE_FUJAIRAH,ARE,Gas,0.5752850817668276,-11.969472994505498,22.035558811304348,91,161,-1.2346766934098816,3.9411376902363116,-54.04338553888889,-5.899457481481483,18
ARE_JEBELALI,ARE,Gas,-1.8278634693093376,14.46611535952381,-16.117084203333334,105,162,1.3037999054632239,-2.069739754483713,-23.2664503,22.944110741935482,20
BHR_ALDUR,BHR,Gas,6.677572135737521,84.4513607054348,35.72253459408333,92,120,4.971011551756682,2.9736131848776934,15.124219349999999,36.84715304545454,20
