id,name,state,latitude,longitude
ME1,27.73N 52.18E,IRN,27.732,52.183
ME2,29.13N 55.37E,IRN,29.133,55.368
ME3,32.35N 53.76E,IRN,32.352,53.758
ME4,32.74N 45.15E,IRQ,32.737,45.148
ME5,35.78N 43.29E,IRQ,35.782,43.293
ME6,23.81N 53.65E,ARE,23.812,53.653
