plant,scene,t,cc_tile,sza,chip_clear_scl,snow_frac,plume_km2,plume_tower_km2,plume_stack_km2,plume_extent_m,plume_border,plume_mean_anom,src_anom,src_bright_frac,src_anom_max,scl_cloud_away,bright_away,dark_away,shadow_score,shadow_dist_m,src_kind,n_towers,n_stacks,idx
AU_BAYSWATER,S2A_56HLK_20230921_0_L2A,2023-09-21T00:05:41.097000Z,4.102173,40.8492385360772,1.0,0.0,0.0092,0.008,0.0012,695.7099292876658,False,55.739131927490234,8.901315689086914,0.046052631578947366,87.0,0.0,0.012993191211012993,0.0052329557280052326,0.3181818181818182,180.0,osm,2,3,15
AU_BAYSWATER,S2B_56HLK_20230926_0_L2A,2023-09-26T00:05:42.535000Z,15.814967,38.9903364267699,1.0,0.0,0.0004,0.0004,0.0,386.5706495751558,False,46.0,4.412280559539795,0.0021929824561403508,46.0,0.0,0.0037165878750037165,0.011001100110011002,0.0,0.0,osm,2,3,16
AU_BAYSWATER,S2A_56HLK_20231001_0_L2A,2023-10-01T00:05:41.401000Z,33.258548,37.1612576431156,0.97635,0.0,0.0016,0.0012,0.0004,663.5814764479849,False,54.75,5.3179826736450195,0.008771929824561403,69.0,0.028127137038028126,0.007135848720007136,0.01109029821901109,0.0,0.0,osm,2,3,17
AU_BAYSWATER,S2B_56HLK_20231006_0_L2A,2023-10-06T00:05:39.166000Z,0.000571,35.3783573536042,1.0,0.0,0.0048,0.0048,0.0,642.7490496275885,False,61.0,1.5592105388641357,0.02631578947368421,78.0,0.0,0.0014569024470014568,0.029732703000029732,0.9166666666666666,180.0,osm,2,3,18
AU_BAYSWATER,S2A_56HLK_20231011_0_L2A,2023-10-11T00:05:37.904000Z,10.934874,33.6564357770828,0.91025,0.0,0.5648,0.5648,0.556,976.5945254367125,False,124.3172836303711,50.44078826904297,0.4144736842105263,235.0,0.0443017274700443,0.02012903993102013,0.059970861951059974,0.7870452528837621,740.0,osm,2,3,19
AU_BAYSWATER,S2B_56HLK_20231016_0_L2A,2023-10-16T00:05:41.619000Z,33.00094,32.0056591881617,1.0,0.0,0.0004,0.0004,0.0,663.5814764479849,False,46.0,-3.785087823867798,0.0021929824561403508,46.0,0.0,0.005351886540005352,0.006333065739006333,0.0,0.0,osm,2,3,20
AU_BAYSWATER,S2A_56HLK_20231021_0_L2A,2023-10-21T00:05:39.217000Z,0.624706,30.4753895420369,1.0,0.0,0.0068,0.0068,0.0,662.748151809564,False,66.82353210449219,3.464912176132202,0.03289473684210526,115.0,0.0,0.006392531145006392,0.009633395772009633,0.625,140.0,osm,2,3,21
AU_BAYSWATER,S2A_56HKK_20231031_0_L2A,2023-10-31T00:05:41.910000Z,64.690709,28.5185361400573,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,-60.199562072753906,0.0,33.0,1.0,0.0,0.1988225849611988,0.0,0.0,osm,2,3,22
AU_BAYSWATER,S2B_56HKK_20231105_0_L2A,2023-11-05T00:05:45.335000Z,80.361539,27.4257776798336,0.009824999999999973,0.0,0.0,0.0,0.0,0.0,False,0.0,-76.89473724365234,0.0,36.0,0.9893854250289894,0.0,0.26319388695626317,0.0,0.0,osm,2,3,23
AU_BAYSWATER,S2A_56HKK_20231110_0_L2A,2023-11-10T00:05:41.963000Z,6.253891,26.5316364086884,1.0,0.0,0.0112,0.0088,0.0024,666.8175455420937,False,61.96428680419922,3.2587718963623047,0.05043859649122807,97.0,0.0,0.002586745161002587,0.03686855172003687,0.4642857142857143,140.0,osm,2,3,24
AU_BAYSWATER,S2B_56HLK_20231115_0_L2A,2023-11-15T00:05:39.159000Z,68.879873,25.030453228789796,1.0,0.0,0.042,0.0256,0.0164,686.6981949682166,False,70.5904769897461,25.688596725463867,0.16666666666666666,148.0,0.0,0.03398447952903398,0.021645407784021645,0.23076923076923078,420.0,osm,2,3,25
AU_BAYSWATER,S2A_56HLK_20231210_0_L2A,2023-12-10T00:05:34.069000Z,48.551041,24.157614863173805,0.07540000000000002,0.0,0.0,0.0,0.0,0.0,False,0.0,-73.21491241455078,0.0,38.0,0.9204352867719204,2.9732703000029733e-05,0.28686111854428686,0.0,0.0,osm,2,3,26
AU_BAYSWATER,S2B_56HLK_20231215_0_L2A,2023-12-15T00:05:37.983000Z,35.154283,24.447392753870304,0.909675,0.0,0.042,0.034,0.008,705.8291307744389,False,82.36190795898438,20.578947067260742,0.17982456140350878,191.0,0.08681949276008682,0.0635982517170636,0.044628787203044626,0.33980582524271846,100.0,osm,2,3,27
AU_BAYSWATER,S2B_56HKK_20231225_0_L2A,2023-12-25T00:05:43.889000Z,21.059103,26.2376591178418,1.0,0.0,0.0328,0.0268,0.006,705.8291307744389,False,77.71951293945312,10.491228103637695,0.13596491228070176,206.0,0.0,0.005768144382005768,0.048226444266048225,0.4492753623188406,60.0,osm,2,3,28
AU_BAYSWATER,S2A_56HKK_20231230_0_L2A,2023-12-30T00:05:39.657000Z,7.455871,26.8502390102217,0.18835000000000002,0.0,2.5156,2.5148,2.4796,1759.3928449617022,True,134.21768188476562,38.671051025390625,0.4824561403508772,198.0,0.7092141646597092,0.15315315315315314,0.3575060208723575,0.5180131004366813,780.0,osm,2,3,29
AU_BAYSWATER,S2B_56HKK_20240104_0_L2A,2024-01-04T00:05:42.822000Z,34.407383,27.5038252947397,0.952025,0.0,0.0132,0.0104,0.0028,666.8175455420937,False,73.18181610107422,-3.535087823867798,0.043859649122807015,168.0,0.057057057057057055,0.0007135848720007136,0.02342936996402343,0.5757575757575758,140.0,osm,2,3,30
