iso3,hydro_share_of_generation,n_reservoirs,index_source,n_months,r_lag0,r_deficit_leads_3mo,r_deficit_leads_6mo,r_news_leads_3mo,best_lag_months,r_best
MWI,0.9112478818661768,2,monitored fleet (capacity-weighted),116,0.24896149629115255,0.19467405087827214,0.044873726502931185,0.3580976897502322,-3,0.3580976897502322
PAK,0.24456425950083827,5,monitored fleet (capacity-weighted),116,0.3082013154651258,0.12022457255330596,0.013018145946694825,0.23298725763813313,-1,0.3133310389567594
TUR,0.2251156885953953,20,monitored fleet (capacity-weighted),116,0.1721047631334839,0.2641311641055909,0.2602684733319515,0.17388008560421947,10,0.3048975956399242
TZA,0.32600955524249275,2,monitored fleet (capacity-weighted),112,0.21805182583866775,0.29042763105554187,-0.049772747328464234,0.2550890771777224,3,0.29042763105554187
BRA,0.6218704635256181,68,monitored fleet (capacity-weighted),116,0.21591587555547348,0.23093885016438007,0.17706755942695326,0.08895535172030344,2,0.26255168340682805
GHA,0.4002898173290858,1,monitored fleet (capacity-weighted),94,0.11274699646814129,0.1522465025886126,0.1376855950009155,0.11019688675412165,9,0.23780604035175645
KEN,0.3054949628331346,6,monitored fleet (capacity-weighted),116,0.20795387570790055,0.11945146973880869,0.1277716970770303,0.22666027731958255,-1,0.23624720451710218
COL,0.6797725924347763,7,monitored fleet (capacity-weighted),115,0.06107137694726315,0.11170190471252193,-0.07081597475015954,0.09928014601989288,-6,0.21655616509515088
VEN,0.6810615381795828,3,monitored fleet (capacity-weighted),116,-0.021798785088949665,0.11638010549920838,0.07988723777860379,0.00844432129865884,10,0.1916924103389948
ZMB,0.8819750477215405,3,monitored fleet (capacity-weighted),114,0.06585338637020198,-0.046609496527794884,-0.09037372332796728,0.190682162864417,-3,0.190682162864417
VNM,0.34094962772901705,25,monitored fleet (capacity-weighted),116,0.12316515521805935,-0.05586857196451146,-0.011758990133944014,0.008038817984275711,11,0.15609633946187107
ZWE,0.5503416562151862,1,monitored fleet (capacity-weighted),95,-0.33522601195648066,-0.42644012399476,-0.47456599998238946,-0.10931135910283227,-6,0.08605439535306943
ECU,0.6990732009518345,1,monitored fleet (capacity-weighted),98,-0.061447873913003125,-0.10677696210981653,-0.08882663342690682,-0.2779250350266917,12,0.04622011787689619
KGZ,0.8838377325284997,4,monitored fleet (capacity-weighted),116,-0.27710336722925055,-0.02415571640782632,0.018374227052363228,-0.3310567853466046,12,0.036081773845565095
MOZ,0.8276917951239893,1,monitored fleet (capacity-weighted),113,-0.16532983985376712,-0.17594111365959694,-0.2139514585054674,-0.1917493964240333,1,-0.15129419880003903
