gww_id,n_months,r_gen_area_linear,r_gen_gbm_area,r_gen_gbm_climate,r_gen_gbm_all,r_area_vs_gauge_volume,gauge_volume_sd_pct,name,reservoir_name,country,truth,lat,lon,n_plants,capacity_mw,match_method,gww_poly_km2,res_time_days,depth_avg_m,vol_mcm,dis_avg_m3s,elevation_m,wshd_km2,head_m,dam_height_m,glo_plant_type,ons_tipo,ba,state,n_area_months,area_mean,area_sd,area_p05,area_p95,area_cv,area_range_rel,pass_size,pass_months,pass_cv,storage_dam,basin_km2,n_subbasins
55099,185.0,0.20505688113409473,0.26203857106268413,0.5112477395120955,0.5611944844709135,0.6608887932529042,44.207093069463674,FUNDÃO,Represa Fundão,BRA,ons,-25.70083333,-52.00361111,1,120.168,gww_polygon,0.7595987119564872,,,,,,,97.0,42.5,ROR,FIO DAGUA,,,240,0.4216048020267474,0.1505998965974434,0.1297427716549106,0.5242093076825216,0.357206312341502,0.9356310320264932,False,True,True,False,4723.6,1
65926,234.0,0.032460196477703894,0.23056671093883643,0.5728800905696558,0.538449386360263,-0.414846321047306,4.148357236993932,EUCLIDES DA CUNHA,,BRA,ons,-21.60277778,-46.94777778,1,108.8,gww_polygon,1.283402482713272,,,,,,,92.0,57.8,ROR,FIO DAGUA,,,237,0.5945512696826973,0.0352619712727717,0.5373427306380087,0.6453684745287548,0.0593085459082283,0.1816928991647729,True,True,True,True,5616.6,3
72171,233.0,0.11523624841249172,0.18765233957641114,0.5320587810589056,0.5934762461556431,-0.1691152123445831,1.938662079208,ITUTINGA,,BRA,ons,-21.29277778,-44.62277778,1,52.0,hydrolakes_pour,2.054633575589807,0.6,5.6,5.86,117.774,886.0,6285.6,25.0,17.0,ROR,FIO DAGUA,,,236,1.1591340527059997,0.0318197042643463,1.1174033694501828,1.227784178033802,0.0274512720854531,0.0952269569908113,True,True,False,False,8762.6,3
72455,234.0,0.27737081070736275,0.5125440169988342,0.5296137482443083,0.5237016786208027,-0.22267405951393626,1.7705376624229179,PEREIRA PASSOS,Pereira Passos,BRA,ons,-22.68666667,-43.82527778,1,99.9,gww_polygon,2.1122686681745084,,,,,,,,55.0,ROR,FIO DAGUA,,,237,0.991934977966143,0.078959768320304,0.9229945698501588,1.0474561530334865,0.0796017582545608,0.1254735299671786,True,True,True,True,2061.1,1
77975,199.0,0.34461214124856754,0.3654357890484218,0.44660397203171864,0.5286617097839154,-0.20285648821764826,2.674885038827803,LIMOEIRO,,BRA,ons,-21.62472222,-47.01055556,1,32.0,hydrolakes_pour,4.0671043875209785,2.1,6.8,14.56,79.492,580.0,4426.0,,42.0,ROR,FIO DAGUA,,,202,2.2268977824481295,0.0969412567206713,2.1116397103285767,2.3752180005513748,0.0435319741591818,0.1183611983900916,True,True,True,True,5616.6,3
78924,210.0,-0.004138701244996925,-0.0020361438852089866,0.25734453934249685,0.19873452090780658,0.39807512735142764,33.74998467207949,JAURU,Vertedouro UHE Jauru,BRA,ons,-15.24083333,-58.73111111,1,117.9,gww_polygon,4.586166739988633,,,,,,,100.8,35.0,STO,FIO DAGUA,,,226,2.2564610797235423,0.4470421875811336,0.6771595318221634,2.5386756380067914,0.1981165071262405,0.8249715108814099,True,True,True,True,4050.5,1
80514,191.0,0.2397615146455772,0.26112468874694195,0.6386412932745179,0.6235083505564479,0.43651623071301054,19.533569666257208,PORTO ESTRELA,Lago da Represa de Porto Estrela,BRA,ons,-19.11472222,-42.66305556,2,214.0,gww_polygon,6.098913074413764,,,,,,,47.14018691588785,43.36448598130841,STO,RESERVATÓRIO COM USINA,,,194,3.4466256100945154,0.2985694115992283,2.9005029944750977,3.8496811484846383,0.0866265865154529,0.2753934605573571,True,True,True,True,10523.6,9
80609,157.0,0.23884983659081158,0.02927065068904629,0.3934100370343705,0.43627399059518956,0.8855744925043703,21.108474479543926,PASSO SÃO JOÃO,Rio Ijuí,BRA,ons,-28.14083333,-55.05194444,1,77.0,gww_polygon,6.221419322621256,,,,,,,,21.5,ROR,FIO DAGUA,,,262,3.1077108944058027,1.6748517632165736,0.861603661223607,4.521259387399182,0.5389342252625487,1.1776049479902808,True,True,True,True,10793.8,9
80940,214.0,0.1771072333369433,0.04629011950794462,0.5266825414517342,0.43237426789277883,0.5012249632975151,22.835504262503147,MASCARENHAS,,BRA,ons,-19.5,-40.92,1,198.0,hydrolakes_pour,6.50294958197589,0.6,9.6,51.8,990.071,59.0,74085.1,17.6,30.0,STO,FIO DAGUA,,,217,3.460773681261335,0.1435643904246707,3.2729047512581255,3.7228977320234433,0.0414833224148729,0.1300266998682533,True,True,True,True,75820.2,43
81567,181.0,0.03129659889083903,0.1269093704733412,0.5513288221017923,0.5493186337002122,0.25432603015558775,25.815295919866745,MONJOLINHO,,BRA,ons,-27.34416667,-52.73111111,1,74.0,gww_polygon,7.376978136405072,,,,,,,61.0,74.0,ROR,FIO DAGUA,,,258,3.676638900821009,1.4500612004323594,0.9661136166206808,5.1109535815243285,0.3943985905465327,1.1273448594524982,True,True,True,True,4054.5,1
