gww_id,best_lag_months,r_best,r_lag0,r_lead6,r_lag_minus6,name,truth,capacity_mw,res_time_days,gww_poly_km2,area_cv
61629,-5,-0.19749707633302876,-0.2171450191864686,-0.25500103785391565,-0.19992759386172856,Warm Springs Power Enterprises,eia923,19.6,,1.0183517851299293,0.1333319058614114
61663,2,0.2396432133022868,0.21490975587868608,0.10605321165846601,0.028567778747703394,Tennessee Creek,eia923,10.8,,1.01773813542613,0.0853280726741592
61931,6,0.16937142286427223,0.07272226759379659,0.16937142286427223,-0.032782923889632956,Browns Falls,eia923,21.0,,1.0340255217614254,0.0844071645961773
62283,-11,-0.08385302883839073,-0.1750194219701619,-0.1284086638918262,-0.2382589501973596,Sandstone Rapids,eia923,3.8,,1.0505360398821786,0.1099372468063424
62555,7,-0.19075825969963678,-0.31300521368723366,-0.2345187846656926,-0.2593568721638512,Chicopee Hydroelectric Station,eia923,2.4,,1.066305794479197,0.1630275650533585
62579,2,0.08262067568409426,0.0061525430534343385,-0.17590645255285253,-0.013854760720473201,Milton,eia923,10.4,,1.068600844675144,0.0377812769708057
62999,-8,0.1402880672556812,-0.008482746935313368,-0.022609521038383037,-0.003778761977982672,Prospect,eia923,19.0,,1.0928347180577689,0.070984383635887
63123,8,0.20681786619276665,0.03575559594563713,0.11048419641263602,0.14567678974133055,Beardslee,eia923,20.0,,1.0983982017813383,0.0509633972048966
63706,1,0.12512884649879524,0.11624400845338224,-0.17816652283138712,-0.05264942493289745,Bennetts Bridge,eia923,44.0,,1.1335742025501516,0.0777421724945251
63752,-5,-0.09865976552517315,-0.16435864800083805,-0.18274293114080736,-0.1065208676224301,A G Wishon,eia923,12.8,,1.1338067761220636,0.0929672498522072
64120,0,0.2705093737470608,0.2705093737470608,0.13082668850199153,0.056548866518414544,North Gorham,eia923,2.2,,1.1585286189572972,0.1065944107431311
64546,-5,0.07881632525921907,-0.10434996859638225,-0.03730011297763898,0.03059759808692219,Solomon Gulch,eia923,12.0,,1.194324777984938,0.0538811726913576
64894,-10,0.21573964729403966,0.048363407736623516,-0.0043889156388877545,0.05822380454121394,Colton,eia923,44.0,,1.2143614374828822,0.0863819419305234
64924,3,0.3655973305804384,0.0748260023332043,0.11579472900787786,-0.1022731341983154,Sherman,eia923,7.2,,1.215439108989959,0.0895410413877289
65047,1,-0.43531762104079674,-0.4542803317856596,-0.5762651911413577,-0.47342544723504537,Warrior Ridge Hydro,eia923,2.8,,1.2222672255088347,0.0896745301474696
65306,10,-0.26991459331575546,-0.33455991510688754,-0.42520806680069195,-0.49993847275437864,Wrightsville Hydro Plant,eia923,1.0,,1.2424102268282078,0.142423668048898
65926,5,0.279733946781281,0.0006320120500763728,0.24596944787977998,-0.11037587128091259,EUCLIDES DA CUNHA,ons,108.8,,1.283402482713272,0.0593085459082283
65931,1,-0.15927213922819108,-0.17639972106030433,-0.20199529033026745,-0.3667553652235068,Prairie River,eia923,1.0,18.9,1.290953034582594,0.0938855348736067
66125,3,0.2441922945205768,-0.02958963028667294,0.1750419004001909,-0.18558606414978304,Silvis,eia923,2.1,631.9,1.3097388547762534,0.1043690221686243
66691,12,0.21800427681748494,0.031552888474614085,0.09081035941832147,0.13472765622006572,Thomson,eia923,84.6,,1.3587806405035625,0.1027871257310945
66698,3,-0.08076147458654437,-0.17119490972866794,-0.43945131221114686,-0.19221699731383945,Boundary,eia923,1159.7,1.7,1.3606202526903426,0.0632808370830349
