month,date,scene_cloud,valid_frac,water_km2_scene,water_km2_filled
2017-01,2017-01-25,38.177812,0.06563778990450204,9.93463244878803,9.93463244878803
2017-03,2017-03-16,7.359891999999999,0.9325034106412006,587.7712864848767,587.8046465669747
2017-05,2017-05-25,0.062165,0.9892769440654843,611.1300159699049,611.2834723475557
2017-06,2017-06-24,0.000959,1.0,617.2749430923587,617.2749430923587
2017-07,2017-07-24,0.0009125,1.0,616.58105338472,616.58105338472
2017-08,2017-08-18,0.0012925,1.0,621.3448731083162,621.3448731083162
2017-09,2017-09-22,0.0010184999999999999,1.0,604.3912793861064,604.3912793861064
2017-10,2017-10-17,0.007009,0.999993178717599,601.0552711763052,601.0552711763052
2017-11,2017-11-06,0.041025,0.9999829467939972,587.9514309282059,587.9647749610451
2017-12,2017-12-31,1.5830655,0.9995804911323328,590.1598683630943,590.1732123959335
2018-01,2018-01-20,2.0102275,0.9996828103683493,583.1475791060922,583.1942832210294
2018-02,2018-02-24,24.600281000000003,0.12700204638472032,12.143069883676436,583.1075470075746
2018-03,2018-03-21,10.938911749999999,0.9218929058663029,489.4991566405524,615.340058330674
2018-04,2018-04-25,0.7413903333333334,0.9996964529331515,648.1196750001808,648.433259771902
2018-05,2018-05-30,0.0009205000000000001,1.0,669.496815608587,669.496815608587
2018-06,2018-06-19,0.007631000000000001,1.0,675.1947176309275,675.1947176309275
2018-07,2018-07-29,0.015003500000000001,1.0,677.9435883958037,677.9435883958037
2018-08,2018-08-23,0.00025575,1.0,681.0060439324012,681.0060439324012
2018-09,2018-09-12,0.00087,0.999993178717599,667.4618506006083,667.4618506006083
2018-10,2018-10-12,0.3478375,0.9998908594815825,652.3564054266283,652.3564054266283
2018-11,2018-11-21,0.1866215,1.0,628.8842516624669,628.8842516624669
2018-12,2018-12-31,21.259648,0.8901330150068213,488.0780171431771,596.8852609140537
2019-01,2019-01-25,20.9285415,0.8754979536152797,573.6332836917392,594.8302798568161
2019-02,2019-02-24,2.7672719999999997,0.9804536152796726,591.5676638276304,600.1278608939804
2019-03,2019-03-31,0.964033,0.993806275579809,585.0424317692593,585.0424317692593
2019-04,2019-04-05,2.6347145000000003,1.0,580.0384194545575,580.0384194545575
2019-05,2019-05-05,0.0070945,1.0,577.2495165911637,577.2495165911637
2019-06,2019-06-04,0.66929,0.9963028649386084,569.9236425624401,569.9236425624401
2019-07,2019-07-19,0.0016797499999999998,1.0,563.0781537159281,563.0781537159281
2019-08,2019-08-28,0.0008027500000000001,1.0,555.9791282454711,555.9791282454711
2019-09,2019-09-17,0.0012584999999999999,1.0,551.315388768169,551.315388768169
2019-10,2019-10-17,0.15199100000000001,1.0,539.2123509830102,539.2123509830102
2019-11,2019-11-06,0.044104000000000004,1.0,535.0556847535978,535.0556847535978
2019-12,2019-12-01,3.1367845,0.9910300136425648,520.8242737305859,531.025786836158
2020-01,2020-01-25,17.40827475,0.9442326057298772,512.5242853046004,526.1885749319462
2020-02,2020-02-19,20.4690795,0.8902728512960436,527.1760333620474,536.7170168420788
2020-03,2020-03-25,2.6371379999999998,0.9719338335607094,536.8371131376317,541.1005316297577
