name,iso3,gww_id,month,area_km2,n_obs,a0,z,alert_on,pred_gbm_area,pred_gbm_climate,pred_gbm_area+climate,pred_lo,pred_hi,p12
Nurek,TJK,88741,2001-01-01,79.52351019333352,1,-0.0010788865475587577,,False,0.003527814839484751,-0.16130246231748224,-0.09703833629115678,-0.5968201868886213,0.5319055316945781,
Nurek,TJK,88741,2001-02-01,79.00554269025687,0,0.055136417180641176,,False,0.06561744180613269,-0.10474902942487241,0.04140194764644101,-0.5008132881706049,0.5117322480035917,
Nurek,TJK,88741,2001-03-01,78.48757518718023,0,0.12554892279778812,,False,0.1582959961523204,-0.19205978208788022,0.021804797651865715,-0.4959980199310391,0.5031802667969174,
Nurek,TJK,88741,2001-07-01,76.41570517487364,1,-0.03401806146630483,,False,-0.06628532405435912,-0.3150958968976416,-0.24875567110629726,-0.5444732559513148,0.20027846853342357,
Nurek,TJK,88741,2001-08-01,79.87160864378919,0,-0.03354675965085626,,False,-0.09548933594910526,-0.18834028418580046,-0.2381147784012386,-0.4760399092457048,0.27805713111992797,
Nurek,TJK,88741,2001-09-01,83.32751211270472,2,0.002942549613103346,,False,0.024845412183728717,-0.13157437583837256,-0.014432312716245023,-0.4579424506033179,0.49482122926874617,
Nurek,TJK,88741,2001-10-01,83.46435107121445,0,-0.0034089346223383755,,False,-0.09260525601916764,-0.12248701327946353,-0.0315908163753906,-0.49749639777190974,0.42827140643628053,
Nurek,TJK,88741,2001-11-01,83.60119002972418,0,0.0013469847032735846,,False,-0.02049722128999181,-0.07528452920150062,0.015106056790926643,-0.39383572569921377,0.3384853130101341,
Nurek,TJK,88741,2001-12-01,83.7380289882339,1,0.02300398970751298,,False,0.04267718674521683,-0.1187105061672246,0.07428868024342235,-0.2851965531383621,0.3425807456383041,-0.36578303812527346
Nurek,TJK,88741,2002-01-01,82.93437516218985,1,0.043523037963108586,,False,0.10320078893173211,-0.12024664462120095,0.0017664076173385006,-0.3281918962310346,0.30326510713273147,-0.34137113939517966
Nurek,TJK,88741,2002-02-01,76.81137549195248,0,0.02644455144097536,,False,0.0876021501305973,-0.16087650277802762,-0.07477159538164542,-0.3460049816892575,0.18081058618319407,-0.2973201723908943
Nurek,TJK,88741,2002-03-01,70.68837582171508,1,0.02356326680778895,,False,0.050976286407852546,-0.2384602213108326,-0.13576042857182374,-0.4272449495851749,0.14342603733561504,-0.2576834347687896
Nurek,TJK,88741,2002-04-01,69.8186119786858,0,0.09774211488924787,,False,0.14507179345452495,-0.14157144034407712,0.0018462530439531048,-0.3284805523925251,0.2666109656218674,-0.16173792373631898
Nurek,TJK,88741,2002-05-01,68.94884813565649,1,0.04361520687883773,,False,0.1864418647262055,-0.028413324770471763,0.06386344054202434,-0.25360596646261063,0.32246818646973574,-0.11127224629192185
Nurek,TJK,88741,2002-06-01,76.27169638540906,1,0.04691065353009329,,False,0.1432838206866056,-0.020913555428844384,0.05168668220756892,-0.2731981201041434,0.3420206535467508,-0.08640349622189768
Nurek,TJK,88741,2002-07-01,79.71756627365875,0,0.009158481966929448,,False,0.1264942435748564,-0.07148655346965933,-0.022622854557486576,-0.3117896749153989,0.3619809126198549,-0.0795743155281894
Nurek,TJK,88741,2002-08-01,83.16343616190842,1,0.009498580403904444,,False,0.08583388376703946,-0.0297925364348883,0.03715585096027351,-0.2825890923015607,0.3040200740672826,-0.10865769964572934
Nurek,TJK,88741,2002-09-01,83.47506049594446,1,0.004871955177679648,,False,0.10435616619761084,0.007017374583894164,0.09056429844396635,-0.2975146215295932,0.4046801062756052,-0.08146961762152577
