month,date,scene_cloud,valid_frac,water_km2_scene,water_km2_filled
2019-01,2019-01-15,0.26385274999999997,0.9998814760265711,32.34575691043952,32.34575691043952
2019-02,2019-02-19,0.029593500000000002,0.9989459187743779,21.143881739931675,21.150728851894087
2019-03,2019-03-21,0.038418749999999995,0.9999951868437186,14.892468518248508,14.892468518248508
2019-04,2019-04-05,0.00362425,0.9999951868437186,15.618262386264297,15.618262386264297
2019-05,2019-05-15,7.628548,0.9652002784410909,16.52892827726524,18.19962359609404
2019-06,2019-06-19,11.32445925,0.9819524688784323,47.73806460194418,47.77230016175625
2019-07,2019-07-24,26.3043815,0.4582720407963126,11.81126813516261,46.67676224777015
2019-08,2019-08-08,22.139446000000003,0.820138366210199,78.54322132084076,87.73204557439914
2019-09,2019-09-02,21.8914565,0.05975232701065091,0.896971667076117,87.35545441646642
2019-10,2019-10-27,12.333701375,0.9068870851585724,65.94453531000063,67.48513550154358
2019-11,2019-11-16,0.001332125,1.0,49.36083013703609,49.36083013703609
2019-12,2019-12-26,0.0017602499999999999,0.9999915769765075,44.088553925978,44.088553925978
2020-01,2020-01-20,0.0006975,0.9999981950663945,35.06406035951752,35.06406035951752
2020-02,2020-02-09,0.453416375,0.9999837555975504,26.826984668734553,26.922844236208338
2020-03,2020-03-05,0.217437875,1.0,23.60199493443798,23.60199493443798
2020-04,2020-04-29,4.8066622500000005,0.9723399941399822,12.838334929524576,13.612058581277257
2020-05,2020-05-29,6.059583,0.9628556696875239,26.457240622764246,26.49147618257631
2020-06,2020-06-08,22.58802742857143,0.6149095938839223,20.397546536028646,31.84591773718336
2020-07,2020-07-03,25.430083500000002,0.41130706673621675,12.160470845245678,32.51693470949984
2020-08,2020-08-12,16.380263,0.9036610671609778,279.15675470758237,284.4495722545277
2020-09,2020-09-21,10.623348499999999,0.9423943406908444,296.17867504614134,302.039802885967
2020-10,2020-10-16,7.357988125,0.9879821504099305,255.5616068851068,262.4977313030313
2020-11,2020-11-30,0.00079025,1.0,213.73259990672514,213.73259990672514
2020-12,2020-12-30,0.00040487499999999996,1.0,204.29727962251988,204.29727962251988
2021-01,2021-01-09,0.003431375,1.0,204.01654803206094,204.01654803206094
2021-02,2021-02-08,0.00257875,0.9999903736874373,194.8003353306529,194.8003353306529
2021-03,2021-03-10,0.5752084166666667,0.99996510461696,192.69827195819207,192.69827195819207
2021-04,2021-04-14,0.045151250000000004,0.999996390132789,185.52934573354554,185.52934573354554
2021-05,2021-05-29,4.16798175,0.999466341297302,190.2538529876106,191.95878386625145
2021-06,2021-06-08,0.61603575,0.9993610535036469,180.09958594735195,184.69399807413114
2021-07,2021-07-13,11.8732365,0.4406047490209739,201.5515877255922,256.3901074325588
2021-08,2021-08-07,31.498305999999996,0.5089347221695784,369.9563064411426,398.78264780290175
