res_time_days,n,median_best_lag,share_area_leads,share_area_lags,median_r_best,median_r_lead6,median_r_lagminus6
"(0.0, 30.0]",31,1.0,0.5483870967741935,0.2903225806451613,0.3674369822062358,0.10349191227705508,0.1517076992382278
"(30.0, 100.0]",28,0.5,0.5,0.25,0.5319768019833124,0.28964704258528834,0.2502570081064002
"(100.0, 365.0]",77,0.0,0.4935064935064935,0.2727272727272727,0.53397780120422,0.28479418469383616,0.26497410071288596
"(365.0, 1000.0]",53,1.0,0.6226415094339622,0.20754716981132076,0.5741498311411127,0.407802550732895,0.40153315604845424
"(1000.0, 100000.0]",12,1.0,0.5833333333333334,0.3333333333333333,0.4146433158642794,0.30371275746178167,0.22664234773159753
