series,r_k=-4,r_k=-2,r_k=+0,r_k=+2,r_k=+4,r_k=+6
Kariba whole-lake (GWW),0.3616719364931158,0.28459757300045474,0.16721823150977577,0.09541504799442876,0.028800384810841448,-0.15060019566430063
Kariba shallow sector (own Sentinel-2),0.5267709279337788,0.5757917677012123,0.5233096655751647,0.4747470593592459,0.34982889436291553,0.22388682688977604
Itezhi-Tezhi (GWW),0.33393254916856585,0.3045477818111139,0.19876527332634333,0.0723552345658606,-0.00023318140714209782,-0.12304897062822547
