month,date,scene_cloud,valid_frac,water_km2_scene,water_km2_filled
2017-01,2017-01-07,83.042927,0.2473943661971831,0.02785317429280168,0.02785317429280168
2017-02,2017-02-16,63.577824,0.6153990610328639,3.8924811074190346,3.8994444009922353
2017-04,2017-04-27,71.963433,0.44723004694835683,2.6112350899501573,4.964828317691899
2017-05,2017-05-17,72.259478,0.2443661971830986,6.0580654086843655,10.625985992703841
2017-06,2017-06-06,28.497573,0.8003051643192488,4.491324354714271,6.970256866773621
2017-07,2017-07-16,20.536103,0.7660328638497652,4.164049556773851,5.925762830793557
2017-08,2017-08-20,30.855541,0.7980046948356807,5.828276720768751,6.63601877526
2017-09,2017-09-29,59.986331,0.4821596244131455,1.2742827238956769,5.417442399949927
2017-10,2017-10-19,67.704306,0.30589201877934274,1.176796613870871,5.702937436451144
2017-11,2017-11-18,31.390626,0.6557276995305165,1.6015575218360967,3.8367747588334313
2017-12,2017-12-18,63.506791,0.35220657276995304,1.8174196226053096,4.630590226178279
2018-01,2018-01-07,11.768285,0.9997887323943662,2.1934374755581323,2.1934374755581323
2018-02,2018-02-26,57.421871,0.8350234741784037,3.8924811074190346,4.087453327468647
2018-03,2018-03-13,79.451066,0.5395305164319248,1.0027142745408604,3.3563075022826023
2018-04,2018-04-12,12.868414,0.9911032863849766,2.0332817233745226,2.0332817233745226
2018-05,2018-05-12,50.3135,0.7127464788732394,7.102559444664428,7.304494958287241
2018-06,2018-06-01,43.689827,0.6455399061032864,5.187653712034313,7.471614004044051
2018-07,2018-07-16,17.750283500000002,0.810093896713615,3.1613352822329905,5.173727124887912
2018-08,2018-08-05,57.8684585,0.30556338028169017,1.7338600997269047,4.839489033374292
2018-09,2018-09-24,38.474541,0.6767136150234742,3.544316428759014,5.6890108493047435
2018-10,2018-10-19,28.446479,0.92518779342723,1.8383095033249108,2.1446944205457292
2018-11,2018-11-28,34.150779,0.8627934272300469,3.7880317038210283,3.801958290967429
2018-12,2018-12-23,56.199566,0.6793661971830985,1.789566448312508,3.1404454015133894
2019-01,2019-01-07,54.100403,0.7872065727699531,4.560957290446275,5.027497959850703
2019-02,2019-02-16,52.58093,0.25427230046948357,1.7060069254341028,5.856129895061553
2019-03,2019-03-03,45.903554,0.7382159624413146,2.569455328510955,5.64026779429234
2019-04,2019-04-22,59.737407,0.8532394366197183,3.349344208709402,5.166763831314712
2019-05,2019-05-17,36.103564,0.9222769953051643,4.031746978883043,5.048387840570305
2019-06,2019-06-26,44.6489835,0.31943661971830983,5.480112042108731,7.555173526922456
2019-07,2019-07-11,30.370763,0.6223708920187794,3.1543719886597903,5.494038629255131
2019-08,2019-08-30,5.926982,0.9905868544600939,4.115306501761448,4.2615356667986575
2019-09,2019-09-29,57.916104000000004,0.5212676056338028,0.8564851095036516,2.639088264242959
2019-10,2019-10-04,34.826523,0.9945305164319249,2.9106567135977754,2.9106567135977754
2019-11,2019-11-18,51.806861,0.3719718309859155,2.416262869900546,4.1988660246398535
2019-12,2019-12-13,34.6759515,0.9537323943661972,4.15012296962745,4.386874951116265
2020-01,2020-01-07,45.800272,0.8745305164319249,3.4746834930270096,4.769856097642288
