scope,test,n_months,r,slope_mwh_thermal_per_mwh_hydro,slope_se_hac,p_hac,r2
"US West (11 states, EIA-923)",labels: d12 fossil ~ d12 hydro,288,-0.7042058936641458,-0.8354656699886296,0.06215488243963119,3.4455271275985763e-41,0.4959059406713179
"US West (11 states, EIA-923)",labels: + control d12 wind+solar,288,-0.7042058936641458,-0.8383125262193757,0.05827078455414533,6.2901239407350735e-47,0.5766275605265408
US West,orbit: d12 fossil ~ d12 satellite-predicted hydro anomaly (area+climate; unseen dams),204,-0.38810031775803355,-1.4016642675344633,0.3169365921762536,9.75479789241782e-06,0.2589447495538053
US West,orbit sanity: d12 actual West hydro ~ d12 satellite-predicted (area+climate),204,0.5450738792113236,1.45068504597989,0.23253029555605167,4.4124297066145323e-10,0.29710553379848037
US West,orbit: d12 fossil ~ d12 satellite-predicted hydro anomaly (area only; unseen dams),204,-0.28545710023002446,-3.2483516812000257,0.8240088821717886,8.076054769477146e-05,0.18545160217444734
US West,orbit sanity: d12 actual West hydro ~ d12 satellite-predicted (area only),204,0.3659695112143613,3.095864046906008,0.7865334211907975,8.282092697110443e-05,0.13393368313847842
US West,orbit: d12 fossil ~ d12 satellite-predicted hydro anomaly (climate only; unseen dams),204,-0.348429584951396,-1.348328837946152,0.32581057022073817,3.497625633720851e-05,0.2408282013378581
US West,orbit sanity: d12 actual West hydro ~ d12 satellite-predicted (climate only),204,0.5381709802912766,1.4614925456913177,0.23021604543200214,2.176333394248269e-10,0.2896280040276734
Brazil SIN (ONS),labels: d12 thermal ~ d12 hydro,308,-0.723146234546629,-0.5832828497268906,0.10624028427401776,4.01426642856424e-08,0.522940476538968
Brazil SIN (ONS),labels: + control d12 wind+solar,308,-0.723146234546629,-0.5923073023528396,0.10946736362996112,6.273968253852316e-08,0.5309419346473206
Brazil SIN,orbit: d12 thermal ~ d12 satellite-predicted hydro anomaly (area+climate; zero-shot US model),121,-0.4904487818152775,-1.5019043624655852,0.3837407760967996,9.083556018783154e-05,0.26148476133764476
Brazil SIN,orbit sanity: d12 actual SIN hydro ~ d12 satellite-predicted (area+climate),121,0.4771708015499587,1.5846634769743573,0.4015807072579333,7.944613469630362e-05,0.22769197385183004
Brazil SIN,orbit: d12 thermal ~ d12 satellite-predicted hydro anomaly (area only; zero-shot US model),121,-0.4006112099652288,-1.1016951206317105,0.31913233198993113,0.0005561227006128793,0.2067156911989506
Brazil SIN,orbit sanity: d12 actual SIN hydro ~ d12 satellite-predicted (area only),121,0.32702872688095863,0.8893596820834625,0.2719671613320484,0.0010750965581969097,0.10694778820538065
