i,j
27,844
147,436
171,430
176,1402
177,1402
178,429
178,432
181,1404
182,1405
183,1405
184,1405
184,1407
186,1411
187,1308
187,1410
188,1309
189,1308
189,1309
193,1312
194,428
194,1307
194,1309
195,428
195,1308
195,1309
195,1313
198,427
198,428
199,428
201,427
203,431
205,430
208,490
209,1300
209,1301
210,427
210,429
210,431
211,429
212,427
212,428
213,428
213,1419
214,428
214,432
215,1307
216,431
217,434
217,481
218,433
218,434
219,1316
220,435
220,485
220,495
220,1274
220,1276
221,486
222,436
222,437
222,486
223,437
224,794
224,822
224,1324
225,436
225,794
225,800
225,1325
226,437
226,438
227,437
228,434
228,435
228,477
228,1327
229,434
232,437
232,1183
234,463
240,435
240,515
241,844
242,842
242,844
242,845
243,515
243,845
244,825
245,848
246,435
248,1334
249,1333
250,526
250,1332
250,1333
251,439
251,1332
253,459
253,832
253,1332
254,831
255,525
255,831
255,832
255,833
256,833
256,850
257,833
258,523
258,832
259,489
261,458
264,1325
265,534
265,1324
265,1325
266,438
266,530
266,533
266,534
267,515
267,536
268,532
268,547
268,548
269,546
269,547
270,444
272,439
273,547
275,529
275,941
275,942
275,943
276,941
276,942
278,501
279,440
279,559
279,834
279,950
280,544
280,950
281,859
284,527
284,910
286,439
289,467
289,844
290,455
293,523
294,434
294,447
294,835
297,528
297,860
298,496
298,833
300,774
300,877
304,855
308,566
308,835
309,783
309,833
309,901
310,774
311,412
311,564
312,411
312,412
312,413
313,412
313,830
316,572
316,827
317,822
321,577
323,774
324,773
324,854
325,464
325,773
325,1181
326,1181
328,404
328,580
328,1171
329,1176
330,1163
331,1153
331,1171
332,581
332,1150
332,1162
333,401
333,877
333,1150
334,803
334,1147
334,1163
335,814
335,863
335,877
335,1147
335,1148
336,810
336,1145
336,1148
337,579
338,769
338,1141
339,397
339,1198
340,549
340,795
341,767
342,781
343,781
344,879
345,566
346,837
347,867
347,1178
348,404
348,480
348,1139
350,543
350,835
350,852
351,400
352,840
354,526
354,1134
355,527
355,867
355,868
355,1187
356,1121
358,1123
358,1189
359,406
359,864
360,516
360,1157
361,850
361,859
362,758
362,821
362,1126
365,1135
365,1136
366,1134
366,1135
366,1136
368,901
369,1129
372,1126
373,414
373,1126
373,1127
374,414
374,1115
375,766
375,1133
376,759
377,794
377,1014
378,419
378,423
378,424
378,1124
379,748
380,511
380,749
380,753
381,509
381,704
382,425
382,704
382,719
382,720
382,743
382,748
382,1121
383,719
383,720
383,1122
383,1124
384,753
384,1129
384,1184
384,1221
385,418
385,677
385,725
385,730
385,743
385,747
385,1022
385,1186
386,489
386,733
386,734
386,750
386,1121
386,1125
387,487
387,714
387,1119
387,1121
388,428
388,1039
388,1122
388,1125
388,1208
388,1222
389,733
389,741
389,1122
389,1218
390,736
390,738
390,1120
391,700
391,736
391,738
391,1113
392,430
392,1114
393,469
394,667
394,738
394,1028
394,1120
394,1219
395,1031
396,750
396,875
396,1026
398,665
399,467
399,1040
400,384
400,443
400,756
400,893
400,1025
400,1030
400,1032
400,1143
401,448
401,461
401,759
401,765
401,1032
401,1216
402,418
402,452
402,750
402,755
403,434
403,1035
403,1037
403,1147
403,1210
404,421
404,751
404,1028
404,1029
404,1032
404,1139
404,1147
404,1223
405,703
405,1023
405,1030
405,1031
406,892
406,893
406,1026
406,1027
406,1139
406,1140
407,773
407,1033
407,1036
407,1039
408,754
408,780
408,820
408,1021
408,1039
409,375
409,714
409,1027
409,1157
410,688
410,1120
411,900
411,1125
412,653
412,741
412,750
412,1030
412,1041
412,1124
412,1125
413,653
413,663
413,1124
414,653
414,728
414,896
414,1119
414,1122
414,1124
415,363
415,1120
415,1121
415,1122
415,1123
415,1130
415,1157
416,371
416,372
416,897
416,1122
416,1123
416,1144
417,369
417,1119
417,1205
418,358
418,476
418,916
418,1035
418,1040
418,1120
418,1122
418,1202
418,1204
419,358
419,476
419,650
419,652
419,655
419,656
419,790
419,892
419,1131
419,1132
419,1134
419,1143
419,1147
419,1148
419,1202
419,1204
420,378
420,622
420,626
420,1128
420,1131
420,1132
420,1134
420,1137
420,1143
420,1144
420,1148
420,1203
421,368
421,833
421,876
421,897
421,1021
421,1143
421,1145
421,1147
422,368
422,850
422,1020
422,1143
422,1145
422,1146
422,1149
423,850
423,1120
423,1137
423,1144
423,1146
423,1148
424,473
424,654
424,1138
424,1142
424,1143
424,1145
424,1153
425,474
425,628
425,1023
425,1042
425,1131
425,1140
425,1141
426,628
426,1042
426,1043
426,1118
426,1121
426,1131
426,1139
426,1140
426,1142
426,1144
426,1150
426,1203
427,320
427,348
427,1017
427,1018
427,1104
427,1105
427,1119
427,1121
427,1140
427,1141
427,1142
427,1145
428,1139
428,1140
428,1144
429,1027
429,1034
429,1142
430,897
430,1033
430,1034
430,1134
430,1139
430,1141
431,1024
431,1053
431,1116
431,1130
432,413
432,468
432,656
432,1038
432,1115
432,1121
432,1127
432,1130
432,1131
432,1137
432,1139
433,451
433,1114
433,1117
433,1118
433,1119
433,1126
433,1130
433,1135
433,1140
433,1158
434,430
434,431
434,440
434,441
434,455
434,1015
434,1016
434,1114
434,1116
434,1119
434,1123
434,1130
434,1138
434,1140
435,324
435,1116
435,1117
435,1123
435,1143
435,1162
436,327
436,1011
436,1012
436,1116
436,1136
437,321
437,322
437,323
437,324
437,1011
437,1012
437,1013
437,1029
437,1050
437,1112
437,1114
437,1127
437,1129
437,1133
437,1162
438,323
438,324
438,325
438,437
438,1011
438,1114
438,1124
438,1128
438,1129
438,1130
438,1132
438,1133
438,1135
438,1136
438,1163
439,315
439,323
439,1011
439,1021
439,1024
439,1105
439,1122
439,1125
439,1138
439,1143
440,323
440,325
440,417
440,1015
440,1021
440,1022
440,1122
440,1123
440,1129
440,1130
440,1134
440,1139
440,1161
441,323
441,1063
441,1120
441,1122
441,1126
441,1127
441,1131
441,1136
442,306
442,318
442,320
442,321
442,1064
442,1122
442,1126
442,1133
442,1136
442,1137
443,94
443,306
443,307
443,318
443,1012
443,1028
443,1128
443,1132
443,1136
443,1137
443,1138
443,1147
444,313
444,314
444,315
444,317
444,362
444,1022
444,1031
444,1123
444,1127
444,1130
444,1143
444,1144
445,373
445,882
445,1011
445,1036
445,1045
445,1046
445,1047
445,1125
445,1129
445,1131
445,1144
445,1162
446,300
446,877
446,879
446,1012
446,1068
446,1156
446,1163
447,1009
447,1055
447,1128
447,1161
447,1164
447,1168
448,311
448,1053
448,1062
448,1067
448,1104
448,1155
449,316
449,1003
449,1013
449,1054
449,1065
449,1074
449,1087
449,1164
449,1174
449,1176
449,1177
450,1000
450,1022
450,1023
450,1073
450,1171
450,1172
450,1174
450,1176
450,1177
450,1201
450,1202
451,1023
451,1024
451,1065
451,1078
451,1153
451,1161
451,1201
451,1202
452,1010
452,1158
452,1168
452,1170
452,1173
452,1175
452,1178
452,1201
452,1202
453,390
453,1011
453,1023
453,1030
453,1040
453,1061
453,1134
453,1185
453,1187
453,1201
454,954
454,1069
454,1085
454,1165
454,1185
454,1201
454,1202
455,1065
455,1066
455,1068
455,1081
455,1082
