gid,name,ascii,alt,lat,lon,fclass,fcode,cc,cc2,a1,a2,a3,a4,pop,elev,dem,tz,mod,country,cont,region,n_ref_25,n_any_25,n_ref_50,n_any_50,cell,cams_pm2_5,cams_pm25_m1,cams_pm25_m2,cams_pm25_m3,cams_pm25_m4,cams_pm25_m5,cams_pm25_m6,cams_pm25_m7,cams_pm25_m8,cams_pm25_m9,cams_pm25_m10,cams_pm25_m11,cams_pm25_m12,viirs_aod
2239888,Maianga,Maianga,"Maianga,maianga,Маианга,マイアンガ",-8.84693,13.23698,P,PPLA2,AO,,20,,,,727681,,7,Africa/Luanda,2026-09-14,Angola,AF,Sub-Saharan Africa,0,0,0,0,137,16.018902,15.470161,14.469048,13.907527,11.728194,14.80793,17.550138,21.866262,24.533197,18.295277,14.328897,12.361389,12.625269,0.35067937
2240449,Luanda,Luanda,"LAD,Loanda,Louanda,Louanta,Luand,Luanda,Luandae,Luando,Lwanda,Lúanda,Saint Paul de Loanda,Sao Paolo de Loanda,Sao Paulo da Assuncao de Luanda,Sao Paulo de Loanda,Sao Paulo de Luanda,St Paul de Loanda,São Paolo de Loanda,São Paulo da Assunção de Luanda,São Paulo de Loanda,São Paulo de Luanda,lu an da,lu'anda,luanda,luo an da,luvanta,luxanda,luyanda,lwanda,ruanda,Λουάντα,Луандæ,Луанда,Լուանդա,לואנדה,לואנדע,لوآندا,لواندا,لونڈا,लुआंडा,लुआण्डा,লুয়ান্ডা,ਲੁਆਂਦਾ,லுவாண்டா,ลูอันดา,ལའུན་ཌ།,ლუანდა,ሏንዳ,ルアンダ,盧安達,罗安达,루안다",-8.83682,13.23432,P,PPLC,AO,,20,,,,2776168,,73,Africa/Luanda,2024-03-26,Angola,AF,Sub-Saharan Africa,0,0,0,0,137,16.018902,15.470161,14.469048,13.907527,11.728194,14.80793,17.550138,21.866262,24.533197,18.295277,14.328897,12.361389,12.625269,0.35067937
2242906,Calumbo,Calumbo,"Calumbo,Catumbo,Columbo,Kalumbo,Калумбо",-9.14692,13.41936,P,PPLA2,AO,,19,,,,652270,,15,Africa/Luanda,2026-09-14,Angola,AF,Sub-Saharan Africa,0,0,0,0,135,12.693068,11.974598,11.195685,10.382259,8.076113,10.689247,14.024306,18.143415,20.818283,14.941946,12.332258,9.864721,9.604435,0.44376385
2243271,Cabinda,Cabinda,"CAB,Cabinda,Kabenda,Kabinda,kabida,kabinda,kabinida,kabnda,kabndہ,kabynda,Кабинда,كابيندا,کابندا,کابندہ,کابیندا,कबिंडा,কাবিন্ডা,ਕਾਬਿੰਡਾ,ካቢንዳ,カビンダ",-5.56198,12.19476,P,PPLA,AO,,03,,,,550000,,1,Africa/Luanda,2026-04-13,Angola,AF,Sub-Saharan Africa,0,0,0,0,163,20.188408,14.842339,14.522173,14.177688,13.089582,24.672983,31.633055,31.349325,31.362902,19.629028,15.026616,13.951527,17.37621,0.5768714
2591953,Golfe,Golfe,"Golfe,Голфе",-8.86639,13.26173,P,PPLA2,AO,,20,,,,655796,,75,Africa/Luanda,2026-09-14,Angola,AF,Sub-Saharan Africa,0,0,0,0,137,16.018902,15.470161,14.469048,13.907527,11.728194,14.80793,17.550138,21.866262,24.533197,18.295277,14.328897,12.361389,12.625269,0.33315563
2591957,Camama,Camama,"Camama,Kamama,Камама",-8.93611,13.26518,P,PPLA2,AO,,20,,,,667094,,83,Africa/Luanda,2026-09-14,Angola,AF,Sub-Saharan Africa,0,0,0,0,137,16.018902,15.470161,14.469048,13.907527,11.728194,14.80793,17.550138,21.866262,24.533197,18.295277,14.328897,12.361389,12.625269,0.33315563
2591976,Talatona,Talatona,"Talatona,Талатона",-8.91783,13.18562,P,PPLA3,AO,,20,,,,500000,,56,Africa/Luanda,2026-09-14,Angola,AF,Sub-Saharan Africa,0,0,0,0,137,16.018902,15.470161,14.469048,13.907527,11.728194,14.80793,17.550138,21.866262,24.533197,18.295277,14.328897,12.361389,12.625269,0.35067937
3347762,Lubango,Lubango,"Lubangas,Lubango,SDD,Sa da Bandeira,Sá da Bandeira,lu ban ge,lubang-gu,lubango,lubanigo,lwbanghw,lwbangw,lwbanګw,lwbngw  angwla,rubango,Лубанго,لوبانغو,لوبانګو,لوبانگو,لوبنگو، آنگولا,लुबांगो,লুবাঙ্গো,ਲੁਬਾਂਗੋ,ሉባንጎ,ルバンゴ,盧班戈,루방구",-14.91717,13.4925,P,PPLA,AO,,09,,,,600751,,1760,Africa/Luanda,2026-05-08,Angola,AF,Sub-Saharan Africa,0,0,0,0,119,8.6533575,7.2767467,7.033333,6.465591,5.315138,4.872446,7.331667,9.892741,13.518815,14.973053,12.542205,7.5344443,6.944759,0.20225562
3348313,Huambo,Huambo,"Huambas,Huambo,Huamdo,Khuambo,NOV,Nova Lisboa,Uambo,hu'ambo,huyambo,hwambw,hwambw  angwla,uambu,uanbo,wambu,wan bo,Вилояти Ҳвамбо,Уамбо,Хуамбо,הואמבו,هوامبو,هوامبو، آنگولا,ہوامبو,हुआम्बो,হুয়াম্বো,ਹੁਆਂਬੋ,วัมบู,ሁwaምbo,ሁዋምቦ,ウアンボ,万博,우암부",-12.77611,15.73917,P,PPLA,AO,,08,,,,595304,,1716,Africa/Luanda,2026-05-02,Angola,AF,Sub-Saharan Africa,0,0,0,0,122,15.347042,8.299462,10.92128,9.522312,9.571528,8.496505,15.770972,23.54086,34.455917,27.350557,17.464516,9.681807,8.692339,0.22737755
3351663,Benguela,Benguela,"BUG,Bengela,Benguela,Benguella,Sao Felipe de Benguela,São Félipe de Benguela,ben ji la,bengera,bengu'ela,benguyela,benigela,bnghyla,bngwyla,bnګwyla,Бенгела,بنغيلا,بنګویلا,بنگوئلا,بنگویلا,बेंगुएला,বেঙ্গুয়েলা,ਬੇਂਗੁਏਲਾ,ቤንጌላ,ベンゲラ,本吉拉",-12.57674,13.40268,P,PPLA,AO,,01,,,,555124,,30,Africa/Luanda,2026-05-05,Angola,AF,Sub-Saharan Africa,0,0,0,0,127,13.528869,11.489113,15.538244,13.847848,12.07639,12.794892,15.667221,14.714648,17.14691,16.614305,11.571371,10.661249,10.44785,0.22875611
