id,obs,cams,n,sd,region,cc,kind,lat,lon,name,r_daily
3501137,20.203461078386933,20.397974,74,25.257369118913385,Other Asia,LA,lowcost,19.958916,102.572347,pm1|pm25|relativehumidity|temperature|um003,0.7957379608406628
3503723,24.83313046582591,18.9916,61,29.1501707880437,Other Asia,TH,lowcost,18.109902,104.281265,pm1|pm25|relativehumidity|temperature|um003,0.8330100164715737
3503724,19.13802649616624,14.486458,76,22.633719749226493,Other Asia,VN,lowcost,18.185553,104.983958,pm1|pm25|relativehumidity|temperature|um003,0.759097853974258
3503725,20.264425680125754,13.777299,58,27.158581509660078,Other Asia,LA,lowcost,17.614203,105.170282,pm1|pm25|relativehumidity|temperature|um003,0.9051107483929633
3509919,13.266037076932363,14.038777,75,11.452590533005225,Other Asia,JP,lowcost,35.269608,139.610525,pm1|pm25|relativehumidity|temperature|um003,0.5857721252409045
3510962,9.65505532523051,11.583736,62,11.873275023592523,Other Asia,VN,lowcost,18.512354,104.442835,pm1|pm25|relativehumidity|temperature|um003,0.7843349311168777
3510963,23.582333110741786,15.409202,48,27.88231862517456,Other Asia,LA,lowcost,16.962416,104.81156,pm1|pm25|relativehumidity|temperature|um003,0.818973821469045
3510965,16.88246331373915,19.522917,74,26.57560338730868,Other Asia,LA,lowcost,20.087592,102.256569,pm1|pm25|relativehumidity|temperature|um003,0.7381896628367898
3524548,22.214970063912066,21.007626,59,26.52368258331399,Other Asia,VN,lowcost,21.078865,102.505833,pm1|pm25|relativehumidity|temperature|um003,0.8335286274038792
3524549,18.93235679061202,22.341213,55,22.145971732147974,Other Asia,LA,lowcost,19.444636,103.205788,pm1|pm25|relativehumidity|temperature|um003,0.6160807385089819
3524550,25.847987771646622,14.203907,64,20.80776286692088,Other Asia,VN,lowcost,18.577559,104.981947,pm1|pm25|relativehumidity|temperature|um003,0.7948670179344249
3524551,18.352724749566136,13.793436,73,24.494209640601014,Other Asia,LA,lowcost,17.457352,105.160169,pm1|pm25|relativehumidity|temperature|um003,0.8584141043606547
3524553,21.100642516416812,13.733334,64,24.90984150078244,Other Asia,LA,lowcost,15.434018,106.382399,pm1|pm25|relativehumidity|temperature|um003,0.9110641704933355
3526100,12.025995818407079,8.545252,43,5.831672001121662,Europe,GR,reference_likely,35.51422600029247,24.02567199994421,co|no2|o3|pm10|pm25|so2,0.24652181907336218
3526103,9.406473536840467,9.437209,43,3.1852521724065967,Europe,GR,reference_likely,40.5133019998168,21.25325699965346,co|no2|o3|pm10|pm25,0.5564548926198075
352765,1.5528739120792112,2.4642045,88,1.8870320681341535,Europe,SE,reference_likely,68.00048999986069,24.24565999957922,pm10|pm25,0.5734303524918647
3530386,11.023868393739228,13.002315,54,12.091773145740406,Europe,FR,lowcost,46.2644,6.37028,pm1|pm25|relativehumidity|temperature|um003,0.595890728443226
353715,35.71559759314078,59.823826,78,20.216399770647143,South Asia,IN,reference_likely,28.802625,78.753728,co|no|no2|o3|pm10|pm25|relativehumidity|so2|temperature,0.5983701466047319
353741,25.316122464387437,23.494167,65,17.82703412384622,Other Asia,TH,reference_likely,16.442554,100.322756,co|no2|o3|pm10|pm25|so2,0.6889629746340085
353742,26.029645232860194,16.20599,64,15.284546530801004,Other Asia,TH,reference_likely,16.54257,104.7192,co|no2|o3|pm10|pm25|so2,0.7589369052499527
353743,21.670852035907455,24.230078,64,16.527798161633246,Other Asia,TH,reference_likely,16.475374,99.525425,co|no2|o3|pm10|pm25|so2,0.7062529077856812
354124,19.357937829785115,12.034102,65,9.078158034780763,Other Asia,TH,reference_likely,12.577835,99.953663,co|no2|o3|pm10|pm25|so2,0.8807685002719929
3544957,13.000876197921418,15.9907055,52,10.381329550570765,North/Central America,HN,lowcost,15.207804,-87.8769283,pm1|pm25|relativehumidity|temperature|um003,0.3855508542713862
3553303,19.786518829777926,14.4978285,71,22.89490945160443,Other Asia,VN,lowcost,20.737745,103.073231,pm1|pm25|relativehumidity|temperature|um003,0.8111671071796369
3553304,22.07618428550382,14.488168,75,32.234130920456714,Other Asia,LA,lowcost,19.237566,101.714751,pm1|pm25|relativehumidity|temperature|um003,0.8347183061635027
356,22.694756554307116,7.2873597,89,11.495818120165671,South America,CL,reference_likely,-36.803034,-73.120527,pm10|pm25|so2,0.6128312447213414
3560513,8.517868754555533,8.200764,60,10.98563130071775,Other Asia,LA,lowcost,19.340999,103.371433,pm1|pm25|relativehumidity|temperature|um003,0.7262054765939103
3560515,22.012041390573383,15.075992,63,37.678094405393345,Other Asia,TH,lowcost,18.02845,104.65357,pm1|pm25|relativehumidity|temperature|um003,0.834948045432661
356093,5.060188704844305,6.945969,92,5.339665155067272,North/Central America,US,reference_likely,45.143141,-122.854708,pm25,0.6062802822055616
3562555,20.784429148827158,17.647684,72,28.483989927781774,Other Asia,LA,lowcost,19.498539,101.883867,pm1|pm25|relativehumidity|temperature|um003,0.7818781240565634
3567156,23.381698315075834,21.010042,61,27.733465326266323,Other Asia,VN,lowcost,21.172583,102.722705,pm1|pm25|relativehumidity|temperature|um003,0.7990819596270009
3567157,20.551396788556023,17.350899,51,32.37558806283346,Other Asia,LA,lowcost,20.536617,101.447461,pm1|pm25|relativehumidity|temperature|um003,0.674999963397657
3567158,21.09889959606826,19.251547,70,29.778478300382666,Other Asia,LA,lowcost,20.086216,100.831707,pm1|pm25|relativehumidity|temperature|um003,0.7540233661505344
3567159,28.65392880103466,20.555193,69,27.302945043791958,Other Asia,LA,lowcost,18.350024,102.42424,pm1|pm25|relativehumidity|temperature|um003,0.8448383650887156
3567160,16.444291828255693,11.839202,71,15.457448970055925,Other Asia,LA,lowcost,16.237196,105.1965,pm1|pm25|relativehumidity|temperature|um003,0.8429568131905839
3567161,18.44652916444823,12.965082,71,22.839324904466245,Other Asia,LA,lowcost,15.707906,106.422189,pm1|pm25|relativehumidity|temperature|um003,0.9091237538938156
3572814,6.437136869754526,6.9752035,41,9.455567697982673,Other Asia,LA,lowcost,15.467532,107.271451,pm1|pm25|relativehumidity|temperature|um003,0.8751390463002988
3576032,18.28346839026534,15.113852,74,15.371844797508171,Other Asia,TH,lowcost,14.968124,102.9822904,pm1|pm25|relativehumidity|temperature|um003,0.6495601280797794
3577666,9.18378513879873,10.822985,62,6.08429141775324,Europe,CZ,reference_likely,48.857276916513506,17.13138961748856,pm10|pm25,0.5213295384157599
3577667,9.657199992329312,8.876443,52,6.81122105817055,Europe,CZ,reference_likely,49.39244461045332,15.59127807656908,no2|pm10|pm25,0.33288496618745284
3577671,7.108393522496104,9.178274,56,4.238779275429172,Europe,CZ,reference_likely,49.56455612164803,15.940999984409071,pm10|pm25,0.3444324530066133
358450,70.70505944267082,14.603841,64,112.29468247359978,South Asia,IN,reference_likely,11.4068288,76.7138973,co|no|no2|o3|pm10|pm25|relativehumidity|so2|temperature,0.03398821106036177
358453,20.125048367435575,18.991117,76,14.035517112606508,South Asia,IN,reference_likely,10.358535,77.984321,co|no|no2|o3|pm10|pm25|relativehumidity|so2|temperature,0.06646044007745697
358683,10.213205627257688,10.855556,78,8.9857737322802,Europe,BG,lowcost,43.7437,27.4144,pm1|pm10|pm25|pm4,0.5691848883827451
3588,10.097329915409597,8.2478895,77,6.812741979313854,Europe,FR,reference_likely,48.688170000094495,6.1904309999021265,no2|o3|pm10|pm25,0.5949376922840982
3588372,2.758428830458626,6.1914444,75,4.50125025248026,Europe,SE,lowcost,59.42840342468391,17.933457470108717,pm1|pm25|relativehumidity|temperature|um003,0.32030718960945403
3590990,8.733407756126457,9.512725,74,8.49956358867757,Europe,DE,lowcost,47.581288951591624,10.733135215427522,pm1|pm25|relativehumidity|temperature|um003,0.39593111146165466
3591603,16.694684598429102,19.689394,66,29.082908956152657,Other Asia,LA,lowcost,20.870865,102.110246,pm1|pm25|relativehumidity|temperature|um003,0.6491040672579894
3591604,22.536371833529056,19.219007,73,29.791010447848535,Other Asia,LA,lowcost,20.565749,100.592003,pm1|pm25|relativehumidity|temperature|um003,0.8141565550923988
3591605,14.834104481568323,15.171189,70,24.937017276467877,Other Asia,LA,lowcost,20.199501,103.875166,pm1|pm25|relativehumidity|temperature|um003,0.6611740142121608
3591606,18.50388477801058,14.709444,45,28.27484015644183,Other Asia,TH,lowcost,18.220795,101.405717,pm1|pm25|relativehumidity|temperature|um003,0.8284876421517364
3591607,18.233295555916975,18.413359,63,25.18211382730175,Other Asia,LA,lowcost,19.590573,103.662369,pm1|pm25|relativehumidity|temperature|um003,0.6315452141291951
3591608,21.867060143081222,20.257597,51,27.802587738377703,Other Asia,LA,lowcost,18.929384,103.992683,pm1|pm25|relativehumidity|temperature|um003,0.7587320437918831
3591610,12.607232026614023,10.3819065,73,18.521508758381497,Other Asia,LA,lowcost,15.994499,106.192399,pm1|pm25|relativehumidity|temperature|um003,0.879362960532408
3591611,12.503193946454731,12.0923195,51,16.27342145933943,Other Asia,LA,lowcost,15.461092,106.16172,pm1|pm25|relativehumidity|temperature|um003,0.857562864344374
3591612,17.088950802331855,12.781922,62,23.014738441517395,Other Asia,LA,lowcost,14.925784,107.052837,pm1|pm25|relativehumidity|temperature|um003,0.935330458714242
3597971,22.29817469159945,15.654813,71,22.60652642056177,Other Asia,LA,lowcost,20.413807,104.050733,pm1|pm25|relativehumidity|temperature|um003,0.7255319141682948
3597972,16.509247160192814,18.467648,68,19.719380056714698,Other Asia,VN,lowcost,19.999194,104.64011,pm1|pm25|relativehumidity|temperature|um003,0.7456369460405252
3597973,19.564501406239582,15.589132,74,24.681865952251094,Other Asia,LA,lowcost,20.466813,103.34797,pm1|pm25|relativehumidity|temperature|um003,0.7800425551066571
3597974,17.457274970031072,17.917744,58,24.87807740836882,Other Asia,LA,lowcost,20.099855,103.380396,pm1|pm25|relativehumidity|temperature|um003,0.6253203590328515
3597975,18.204281079665222,16.594383,69,19.572081694996633,Other Asia,VN,lowcost,19.835863,104.561303,pm1|pm25|relativehumidity|temperature|um003,0.8053705924537047
3597976,23.484291886712164,14.775385,65,39.26054153738146,Other Asia,LA,lowcost,19.70693,101.342893,pm1|pm25|relativehumidity|temperature|um003,0.8079891141961518
3597978,20.324248502353576,21.46641,65,23.046936534520253,Other Asia,LA,lowcost,18.554884,102.502844,pm1|pm25|relativehumidity|temperature|um003,0.8700817968220056
3599598,20.86024488423019,17.96056,73,21.973933383238794,Other Asia,LA,lowcost,20.820542,104.004618,pm1|pm25|relativehumidity|temperature|um003,0.7332946288371588
3599599,18.04635042085957,20.134937,52,22.944895866373898,Other Asia,LA,lowcost,20.813892,104.146676,pm1|pm25|relativehumidity|temperature|um003,0.7904023172057857
