id,pm25,cams_pm2_5,lin_lco,gbm_lco,gbm_lro,region,cc,kind,nmo
1004,32.34093748926338,8.600359,9.6348738767886,9.023648213617626,9.222341048092707,South America,CL,reference_likely,12
10488,72.27679305262635,79.168015,50.78039484774844,42.6709569920891,31.986559665842503,South Asia,IN,reference_likely,10
10495,6.785364597631288,8.673594,10.104743608755728,7.262961615031936,9.144669996542024,Europe,NO,reference_likely,10
10508,13.296763394490975,9.329214,10.533472314526062,10.629034989321477,10.160638690205817,Europe,PL,reference_likely,12
10516,17.55929650521319,23.380232,20.07665749850639,15.077643078585375,17.222679285885654,Europe,PL,reference_likely,12
10526,6.965744471039809,5.6594987,7.464008236023785,5.5791820172368505,7.080724847165086,Europe,NO,reference_likely,9
10528,17.85326447612292,12.218324,12.751535921786326,13.407429962910411,15.305041853733151,Europe,PL,reference_likely,12
10534,16.086029131079908,23.794893,20.455816293753387,19.63733910684527,19.061806795918475,North/Central America,MX,reference_likely,11
10537,19.901202386390757,17.709696,16.36988124027713,26.403936706309196,23.283091500106778,South Asia,IN,reference_likely,9
10550,5.6220908133540375,5.960817,7.73678315477981,5.842871991439536,7.495885418556346,Europe,NO,reference_likely,10
10554,6.859358649385383,8.697733,10.123990371849558,7.321761876654541,9.128708703003303,Europe,NO,reference_likely,10
10562,7.245582018908422,5.337466,7.145028295724143,5.477591633757467,6.6530371964472135,Europe,NO,reference_likely,10
10566,18.018139371478977,12.943043,13.328819868209903,11.719343257455366,12.875259424699792,Europe,PL,reference_likely,12
10567,7.6039858538504035,7.2840867,8.916172117656787,7.076277690410917,9.394177681038705,Europe,NO,reference_likely,10
10587,18.23849038396722,12.475319,12.93957301208159,14.49290252072936,16.002494366111375,Europe,PL,reference_likely,12
10591,7.5788166016235765,6.9289956,8.612773240116592,6.7206758081873685,8.180148586851393,Europe,NO,reference_likely,10
10596,17.102646099166588,12.478981,12.960066621869949,13.379321448069108,15.609228821424418,Europe,PL,reference_likely,12
10612,8.23581637644386,7.504186,9.094748206619009,6.564909755823265,7.689133258929199,Europe,NO,reference_likely,10
10624,5.229111553903868,6.7591796,8.604746481748398,5.836130602122776,5.515518168468984,Europe,EE,reference_likely,12
10625,15.336269566048804,11.194847,12.040260468121145,10.647047594622864,12.350535732527499,Europe,PL,reference_likely,12
10627,15.674306018573853,10.655433,11.602928939050955,13.566870281522972,12.913151491120653,Europe,PL,reference_likely,12
10633,53.17092644479324,51.320595,35.97014652713529,30.002887687886236,22.417632998010383,South Asia,IN,reference_likely,10
10634,4.387393258344058,6.233803,8.104968030571106,5.478893279169704,5.9253911346168175,Europe,EE,reference_likely,12
10653,22.155513507569427,12.259751,12.66063672176478,14.416434035251088,15.031728332991719,South America,CL,reference_likely,12
