id,n2024,n2025,name,lat,lon,params,n_pm25_rows_sample_day,sample_key,error,provider,country,has_pm25,active,kind,days,cc,region,city_km
4797637,0,195,J.P. Rizal Avenue corner Camia-4767598,14.56746,121.03929,pm25,70.0,records/csv.gz/locationid=4797637/year=2025/month=09/location-4797637-20250925.csv.gz,,,,True,True,reference_likely,195,PH,Other Asia,1.2897859005263073
2041043,347,337,"Mae Ann, Mae Rim, Chiang Mai-2011017",18.96721,98.893778,pm1|pm25|relativehumidity|temperature|um003,24.0,records/csv.gz/locationid=2041043/year=2025/month=07/location-2041043-20250716.csv.gz,,,,True,True,lowcost,684,TH,Other Asia,21.86525883841549
4946813,0,181,ĐH Bách Khoa - cổng Parabol đường Giải Phóng-4916746,21.0052,105.84180000000002,co|no2|o3|pm10|pm25|so2,99.0,records/csv.gz/locationid=4946813/year=2025/month=10/location-4946813-20251001.csv.gz,,,,True,True,reference_likely,181,VN,Other Asia,1.0523365357171754
4854009,0,190,Allama Iqbal Open University Grw-4823946,32.135302,74.206118,pm1|pm25|relativehumidity|temperature|um003,21.0,records/csv.gz/locationid=4854009/year=2025/month=09/location-4854009-20250928.csv.gz,,,,True,True,lowcost,190,PK,South Asia,2.890025013023424
4797656,0,195,Barangay Tunasan - Maharlika Highway (SM Center Muntinlupa)-4767612,14.37853,121.04615,pm25,70.0,records/csv.gz/locationid=4797656/year=2025/month=09/location-4797656-20250925.csv.gz,,,,True,True,reference_likely,195,PH,Other Asia,0.6876617727664068
368391,193,252,Suan Luang Rama IX-378992,13.6881393,100.6579657,pm25,24.0,records/csv.gz/locationid=368391/year=2025/month=05/location-368391-20250526.csv.gz,,,,True,True,reference_likely,445,TH,Other Asia,2.8724181627277723
4770827,0,172,Muhammad Nawaz Sharif University of  Agriculture-4740764,30.1477,71.44326,pm1|pm25|relativehumidity|temperature|um003,24.0,records/csv.gz/locationid=4770827/year=2025/month=09/location-4770827-20250916.csv.gz,,,,True,True,lowcost,172,PK,South Asia,6.411173116952579
3088323,92,365,Crowd effort development-3058267,40.22713,44.4987,pm25,41.0,records/csv.gz/locationid=3088323/year=2025/month=07/location-3088323-20250702.csv.gz,,,,True,True,reference_likely,457,AM,Other Asia,1.9254396229111115
4143981,0,248,Kaysone Phomvihane - Sav-4113930,16.5702,104.75036,pm1|pm25|relativehumidity|temperature|um003,24.0,records/csv.gz/locationid=4143981/year=2025/month=08/location-4143981-20250830.csv.gz,,,,True,True,lowcost,248,LA,Other Asia,1.2619217198878792
2845347,232,331,โรงเรียนบ้านโคกขามโนนสมบูรณ์-2815303,14.817848930975666,102.88950559496688,pm1|pm25|relativehumidity|temperature|um003,24.0,records/csv.gz/locationid=2845347/year=2025/month=07/location-2845347-20250717.csv.gz,,,,True,True,lowcost,563,TH,Other Asia,22.64119573125252
4959011,0,179,Kpone Methodists School-4928948,5.6915154,0.0553638,pm1|pm25|relativehumidity|temperature|um003,24.0,records/csv.gz/locationid=4959011/year=2025/month=10/location-4959011-20251001.csv.gz,,,,True,True,lowcost,179,GH,Sub-Saharan Africa,5.2640119710742885
3684610,0,246,"Khob Secondary School - Khob, Xayabouli ມັດທະຍົມ ເມືອງຄອບ-3654550",19.699713,100.5572,pm1|pm25|relativehumidity|temperature|um003,24.0,records/csv.gz/locationid=3684610/year=2025/month=07/location-3684610-20250714.csv.gz,,,,True,True,lowcost,246,LA,Other Asia,61.770803763360426
3685152,0,193,"Sukhuma Secondary School - Sukhuma, Champasack ມັດທະຍົມ ສຸຂຸມາ-3655091",14.649459,105.804529,pm1|pm25|relativehumidity|temperature|um003,24.0,records/csv.gz/locationid=3685152/year=2025/month=09/location-3685152-20250921.csv.gz,,,,True,True,lowcost,193,LA,Other Asia,52.34963127408852
4600078,0,206,Abasyn University-4570015,34.0321798,71.5864122,pm1|pm25|relativehumidity|temperature|um003,22.0,records/csv.gz/locationid=4600078/year=2025/month=09/location-4600078-20250916.csv.gz,,,,True,True,lowcost,206,PK,South Asia,2.786045051433385
388962,179,173,Li District Office-399563,17.802222,98.949722,pm25,21.0,records/csv.gz/locationid=388962/year=2025/month=03/location-388962-20250328.csv.gz,,,,True,True,reference_likely,352,TH,Other Asia,35.20667304360033
4712030,0,181,PSGMEA-4681966,32.487371,74.512444,pm1|pm25|relativehumidity|temperature|um003,24.0,records/csv.gz/locationid=4712030/year=2025/month=10/location-4712030-20251002.csv.gz,,,,True,True,lowcost,181,PK,South Asia,1.8680119122259728
4897485,0,172,"Talpur House, Latifabad, Hyderabad-4867419",25.367274,68.337884,pm1|pm25|relativehumidity|temperature|um003,24.0,records/csv.gz/locationid=4897485/year=2025/month=10/location-4897485-20251001.csv.gz,,,,True,True,lowcost,172,PK,South Asia,2.976838801424193
225571,226,252,"Bang Khun Thian District Office, Bangkok-237867",13.659908,100.435902,pm25,19.0,records/csv.gz/locationid=225571/year=2025/month=05/location-225571-20250526.csv.gz,,,,True,True,reference_likely,478,TH,Other Asia,0.39391625292015015
2147304,127,288,Tin That-2117280,19.3172193,98.439397,pm1|pm25|relativehumidity|temperature|um003,24.0,records/csv.gz/locationid=2147304/year=2025/month=07/location-2147304-20250706.csv.gz,,,,True,True,lowcost,415,TH,Other Asia,81.9531949937115
852,365,361,La Florida (Acreditada)-852,-33.516630362266,-70.588123961971,pm10|pm25|so2,24.0,records/csv.gz/locationid=852/year=2025/month=06/location-852-20250630.csv.gz,,chile-sinca,cl,True,True,reference_likely,726,CL,South America,7.341487841821496
225587,366,253,Water reservoir-237883,13.832076,100.057961,pm25,24.0,records/csv.gz/locationid=225587/year=2025/month=05/location-225587-20250518.csv.gz,,airnow,99,True,True,reference_likely,619,TH,Other Asia,2.0272566159704972
1650687,363,260,Phaya Thaen Public Park-1620662,15.783860999999998,104.154639,co|no2|o3|pm25|so2,20.0,records/csv.gz/locationid=1650687/year=2025/month=05/location-1650687-20250522.csv.gz,,,,True,True,reference_likely,623,TH,Other Asia,1.527398166071408
4095692,0,154,Bakoteh Landfill-4143230,13.4386,-16.6995,pm25,23.0,records/csv.gz/locationid=4095692/year=2025/month=08/location-4095692-20250806.csv.gz,,,,True,True,reference_likely,154,GM,Sub-Saharan Africa,0.823138736749699
2528,196,356,Lota urbana-2528,-37.077619809695,-73.154136498581,pm10|pm25|so2,24.0,records/csv.gz/locationid=2528/year=2025/month=06/location-2528-20250629.csv.gz,,chile-sinca,cl,True,True,reference_likely,552,CL,South America,1.4059392608540597
225650,366,260,The Government Public Relations Department-237946,13.783185,100.540489,pm10|pm25,22.0,records/csv.gz/locationid=225650/year=2025/month=05/location-225650-20250522.csv.gz,,airnow,99,True,True,reference_likely,626,TH,Other Asia,0.394178802281148
3591611,0,229,Lao Ngarm - Salavan-3561558,15.461092,106.16172,pm1|pm25|relativehumidity|temperature|um003,24.0,records/csv.gz/locationid=3591611/year=2025/month=07/location-3591611-20250725.csv.gz,,,,True,True,lowcost,229,LA,Other Asia,0.7334098940911189
4803208,0,150,University Of Sialkot-4773145,32.46479,74.514128,pm1|pm25|relativehumidity|temperature|um003,24.0,records/csv.gz/locationid=4803208/year=2025/month=09/location-4803208-20250904.csv.gz,,,,True,True,lowcost,150,PK,South Asia,3.496331959247354
4605120,0,197,Hayatabad phase 7-4575060,33.9687263,71.4147126,pm1|pm25|relativehumidity|temperature|um003,24.0,records/csv.gz/locationid=4605120/year=2025/month=09/location-4605120-20250924.csv.gz,,,,True,True,lowcost,197,PK,South Asia,4.847582283660653
2332,342,356,Rengo-2332,-34.394541417902,-70.852981542328,pm10|pm25,24.0,records/csv.gz/locationid=2332/year=2025/month=07/location-2332-20250701.csv.gz,,chile-sinca,cl,True,True,reference_likely,698,CL,South America,1.4062395101919134
4932783,0,168,Climate Action Center-4902718,24.86377,67.056642,pm1|pm25|relativehumidity|temperature|um003,3.0,records/csv.gz/locationid=4932783/year=2025/month=10/location-4932783-20251001.csv.gz,,,,True,True,lowcost,168,PK,South Asia,1.3846171289705482
3133267,78,365,NASA GSFC Rutgers Calib. N17-3103209,13.8192,100.041,pm25,40.0,records/csv.gz/locationid=3133267/year=2025/month=07/location-3133267-20250702.csv.gz,,,,True,True,reference_likely,443,TH,Other Asia,0.35587266426846403
3290366,34,302,"CAP / TSM SW, KZN. ZA.-3260309",-29.55722258160617,31.119879760604597,pm1|pm25|relativehumidity|temperature|um003,24.0,records/csv.gz/locationid=3290366/year=2025/month=07/location-3290366-20250718.csv.gz,,,,True,True,lowcost,336,ZA,Sub-Saharan Africa,1.875765322249275
2821337,240,288,โรงเรียนผ่านศึกสงเคราะห์ 2-2791292,20.1738211256972,100.0637395138998,pm1|pm25|relativehumidity|temperature|um003,24.0,records/csv.gz/locationid=2821337/year=2025/month=08/location-2821337-20250810.csv.gz,,,,True,True,lowcost,528,LA,Other Asia,19.792793024728763
