id,date,pm25,n_ok,n_raw
3685147,2025-11-09,7.092510414490891,24,24
3685147,2025-11-13,18.96284493404886,23,23
3685147,2025-11-17,20.414084532547697,22,22
3685147,2025-11-21,14.827023613422808,24,24
3685147,2025-11-25,39.49323786762026,24,24
3685147,2025-11-29,38.67084290067154,24,24
3685147,2025-12-03,34.02811977201038,24,24
3685147,2025-12-07,31.6142760515213,24,24
3685147,2025-12-11,40.03403469589021,24,24
3685147,2025-12-15,17.450569998997228,24,24
3685147,2025-12-19,25.481094929686297,24,24
3685147,2025-12-23,30.485089211883366,24,24
3685147,2025-12-27,31.589438747413578,24,24
3685147,2025-12-31,39.26484960058461,23,23
6358,2025-02-22,60.52272727272727,88,88
6358,2025-02-26,113.17582417582418,91,91
6358,2025-03-02,46.810810810810814,74,74
6358,2025-03-06,42.266666666666666,75,75
6358,2025-03-10,89.21518987341773,79,79
6358,2025-03-14,68.78313253012048,83,83
6358,2025-03-18,39.816326530612244,49,49
6358,2025-03-22,61.14473684210526,76,76
6358,2025-03-26,86.45,80,80
6358,2025-03-30,34.94871794871795,78,78
6358,2025-04-03,53.49382716049383,81,81
6358,2025-04-07,76.08974358974359,78,78
6358,2025-04-11,12.25,16,16
6358,2025-04-15,46.71111111111111,45,45
6358,2025-04-19,36.47222222222222,72,72
6358,2025-04-23,70.74647887323944,71,71
6358,2025-04-27,50.02197802197802,91,91
6358,2025-05-01,58.747252747252745,91,91
6358,2025-05-05,33.38095238095238,63,63
6358,2025-05-09,53.89473684210526,76,76
6358,2025-05-13,19.25,84,84
6358,2025-05-17,26.9,90,90
6358,2025-05-21,55.064935064935064,77,77
6358,2025-05-25,15.19047619047619,21,21
6358,2025-05-29,46.86516853932584,89,89
6358,2025-06-02,32.1625,80,80
6358,2025-06-06,43.252747252747255,91,91
6358,2025-06-10,45.75,80,80
6358,2025-06-14,61.36363636363637,88,88
6358,2025-06-18,49.87671232876713,73,73
6358,2025-06-22,41.43055555555556,72,72
6358,2025-06-26,32.89041095890411,73,73
6358,2025-06-30,51.075471698113205,53,53
6358,2025-07-04,34.84615384615385,78,78
6358,2025-07-08,32.79775280898876,89,89
6358,2025-07-12,40.79347826086956,92,92
6358,2025-07-16,31.56179775280899,89,89
6358,2025-07-20,27.102272727272727,88,88
6358,2025-07-24,27.767123287671232,73,73
6358,2025-07-28,51.44444444444444,27,27
6358,2025-08-01,25.0,22,26
6358,2025-08-05,27.96153846153846,78,78
6358,2025-08-09,22.29850746268657,67,67
6358,2025-08-13,31.72222222222222,72,72
6358,2025-08-17,37.59036144578313,83,83
6358,2025-08-21,28.704545454545453,88,88
6358,2025-08-25,27.655172413793103,87,87
6358,2025-08-29,47.75609756097561,82,82
6358,2025-09-02,17.935064935064936,77,77
6358,2025-09-06,34.766666666666666,90,90
6358,2025-09-10,38.19718309859155,71,71
6358,2025-09-14,39.75949367088607,79,79
6358,2025-09-18,52.59154929577465,71,71
6358,2025-09-22,37.895348837209305,86,86
6358,2025-09-26,35.90277777777778,72,72
6358,2025-09-30,33.45348837209303,86,86
6358,2025-10-04,63.904761904761905,63,63
6358,2025-10-08,31.01086956521739,92,92
6358,2025-10-12,55.395604395604394,91,91
6358,2025-10-16,90.74444444444444,90,90
6358,2025-10-20,234.92537313432837,67,67
6358,2025-10-24,104.67777777777778,90,90
6358,2025-10-28,129.46478873239437,71,71
6358,2025-11-01,200.1829268292683,82,82
6358,2025-11-05,93.34065934065934,91,91
6358,2025-11-09,212.39080459770116,87,87
6358,2025-11-13,280.02197802197804,91,91
6358,2025-11-17,97.75862068965517,29,29
6358,2025-11-21,96.48780487804878,82,82
6358,2025-11-25,134.9659090909091,88,88
6358,2025-11-29,75.06521739130434,92,92
6358,2025-12-03,81.56666666666666,90,90
6358,2025-12-07,105.33333333333333,93,93
6358,2025-12-11,98.8108108108108,74,74
6358,2025-12-15,216.3661971830986,71,71
6358,2025-12-19,170.04651162790697,86,86
6358,2025-12-23,203.25,88,88
6358,2025-12-27,192.5064935064935,77,77
6358,2025-12-31,236.3932584269663,89,89
6960,2025-02-22,57.365591397849464,93,93
6960,2025-02-26,112.72826086956522,92,92
6960,2025-03-02,47.4367816091954,87,87
6960,2025-03-06,37.41573033707865,89,89
6960,2025-03-10,85.15555555555555,90,90
6960,2025-03-14,85.36559139784946,93,93
6960,2025-03-18,52.57608695652174,92,92
6960,2025-03-22,58.97752808988764,89,89
6960,2025-03-26,95.20652173913044,92,92
6960,2025-03-30,29.63157894736842,57,57
6960,2025-04-03,78.2183908045977,87,87
6960,2025-04-07,107.49425287356321,87,87
6960,2025-04-11,24.25,16,16
6960,2025-04-15,52.03508771929825,57,57
6960,2025-04-19,47.785714285714285,84,84
6960,2025-04-23,68.52380952380952,84,84
6960,2025-04-27,65.58333333333333,48,48
6960,2025-05-01,73.04347826086956,92,92
6960,2025-05-05,41.78409090909091,88,88
6960,2025-05-09,66.75555555555556,90,90
6960,2025-05-13,29.951807228915662,83,83
6960,2025-05-17,53.3,90,90
6960,2025-05-21,75.79746835443038,79,79
6960,2025-05-25,28.757575757575758,66,66
6960,2025-05-29,47.70652173913044,92,92
6960,2025-06-02,44.94252873563219,87,87
6960,2025-06-06,44.12903225806452,93,93
6960,2025-06-10,54.19277108433735,83,83
6960,2025-06-14,57.69565217391305,92,92
6960,2025-06-18,32.370370370370374,81,81
6960,2025-06-22,34.40243902439025,82,82
6960,2025-06-26,26.325581395348838,86,86
6960,2025-06-30,33.629629629629626,54,54
6960,2025-07-04,20.28205128205128,78,78
6960,2025-07-08,28.133333333333333,45,45
6960,2025-07-12,49.505376344086024,93,93
6960,2025-07-16,22.53846153846154,91,91
6960,2025-07-20,16.615384615384617,91,91
6960,2025-07-24,36.67058823529412,85,85
6960,2025-07-28,38.04347826086956,92,92
6960,2025-08-01,25.142857142857142,63,63
6960,2025-08-05,24.382716049382715,81,81
6960,2025-08-09,14.033898305084746,59,59
6960,2025-08-13,41.91208791208791,91,91
6960,2025-08-17,37.858695652173914,92,92
6960,2025-08-21,27.506172839506174,81,81
6960,2025-08-25,23.555555555555557,90,90
6960,2025-08-29,40.9010989010989,91,91
6960,2025-09-02,13.146067415730338,89,89
6960,2025-09-06,27.35164835164835,91,91
6960,2025-09-10,25.46067415730337,89,89
6960,2025-09-14,44.65217391304348,92,92
6960,2025-09-18,43.24657534246575,73,73
6960,2025-09-22,41.90217391304348,92,92
6960,2025-09-26,38.22222222222222,72,72
6960,2025-09-30,38.141304347826086,92,92
6960,2025-10-04,72.67391304347827,92,92
6960,2025-10-08,46.365591397849464,93,93
6960,2025-10-12,65.33695652173913,92,92
6960,2025-10-16,111.28235294117647,85,85
6960,2025-10-20,267.3968253968254,63,67
6960,2025-10-24,123.28260869565217,92,92
6960,2025-10-28,148.85135135135135,74,74
6960,2025-11-01,205.3095238095238,84,84
6960,2025-11-05,108.7032967032967,91,91
6960,2025-11-09,245.96774193548387,93,93
6960,2025-11-13,296.2043010752688,93,93
6960,2025-11-17,212.01136363636363,88,88
6960,2025-11-21,231.72826086956522,92,92
6960,2025-11-25,205.40217391304347,92,92
6960,2025-11-29,146.6551724137931,87,87
6960,2025-12-03,164.13186813186815,91,91
6960,2025-12-07,169.03225806451613,93,93
6960,2025-12-11,162.28205128205127,78,78
6960,2025-12-15,292.1038961038961,77,77
6960,2025-12-19,243.38636363636363,88,88
6960,2025-12-23,273.685393258427,89,89
6960,2025-12-27,298.1578947368421,76,76
6960,2025-12-31,302.2888888888889,90,90
5624,2025-02-22,64.38202247191012,89,89
5624,2025-02-26,63.10989010989011,91,91
5624,2025-03-10,37.57471264367816,87,87
5624,2025-03-14,55.07954545454545,88,88
5624,2025-03-18,57.76923076923077,91,91
5624,2025-03-22,28.44871794871795,78,78
5624,2025-03-26,53.96666666666667,90,90
5624,2025-03-30,70.5375,80,80
5624,2025-04-03,33.18421052631579,76,76
5624,2025-04-07,48.438202247191015,89,89
5624,2025-04-11,65.66666666666667,15,15
5624,2025-04-15,39.11864406779661,59,59
5624,2025-04-19,38.97727272727273,88,88
5624,2025-04-23,53.15909090909091,88,88
5624,2025-04-27,49.18181818181818,33,33
5624,2025-05-01,30.43820224719101,89,89
5624,2025-05-05,35.40229885057471,87,87
5624,2025-05-09,30.055555555555557,90,90
5624,2025-05-13,41.7,80,80
5624,2025-05-17,28.38372093023256,86,86
5624,2025-05-21,15.526315789473685,57,57
5624,2025-05-25,7.38,50,50
5624,2025-05-29,20.44705882352941,85,85
5624,2025-06-02,14.963414634146341,82,82
5624,2025-06-06,38.3125,48,48
5624,2025-06-10,29.2125,80,80
5624,2025-06-14,13.31868131868132,91,91
5624,2025-06-18,13.952941176470588,85,85
5624,2025-06-22,10.197530864197532,81,81
5624,2025-06-26,14.5,88,88
5624,2025-06-30,16.244444444444444,45,45
5624,2025-07-04,11.53225806451613,62,62
5624,2025-07-08,17.329545454545453,88,88
5624,2025-07-12,17.81111111111111,90,90
5624,2025-07-16,14.5,68,68
5624,2025-07-24,13.96774193548387,31,31
5624,2025-07-28,11.733333333333333,30,30
5624,2025-08-01,13.10344827586207,58,58
5624,2025-08-05,44.96153846153846,78,78
5624,2025-08-09,26.512820512820515,78,78
5624,2025-08-13,20.5609756097561,41,41
5624,2025-08-17,46.967032967032964,91,91
5624,2025-08-21,58.50574712643678,87,87
5624,2025-08-25,57.43181818181818,88,88
5624,2025-08-29,54.61538461538461,26,26
5624,2025-09-18,58.32857142857143,70,70
5624,2025-09-22,67.61363636363636,44,44
5624,2025-09-26,53.27272727272727,33,33
5624,2025-09-30,51.05263157894737,57,57
5624,2025-10-04,55.773809523809526,84,84
5624,2025-10-08,71.37254901960785,51,51
5624,2025-10-12,80.09782608695652,92,92
5624,2025-10-16,49.6875,48,48
5624,2025-10-20,21.125,24,24
5624,2025-10-24,12.846153846153847,13,13
5624,2025-10-28,26.735294117647058,34,34
5624,2025-11-01,19.788732394366196,71,71
5624,2025-11-05,75.03488372093024,86,86
5624,2025-11-09,68.07142857142857,84,84
5624,2025-11-13,51.888888888888886,45,45
5624,2025-11-17,54.333333333333336,36,36
5624,2025-11-21,35.91379310344828,58,58
5624,2025-11-25,43.0,22,22
5624,2025-11-29,58.48837209302326,43,43
5624,2025-12-03,60.8235294117647,51,51
5624,2025-12-15,40.97435897435897,39,39
5624,2025-12-23,47.79661016949152,59,59
5624,2025-12-27,57.67567567567568,74,74
5624,2025-12-31,50.906666666666666,75,75
2161296,2025-01-01,79.595,20,20
2161296,2025-01-05,59.13333333333333,24,24
2161296,2025-01-09,48.70416666666667,24,24
2161296,2025-01-13,51.62916666666666,24,24
2161296,2025-01-17,50.74583333333334,24,24
2161296,2025-01-21,63.57916666666667,24,24
2161296,2025-01-25,25.599999999999998,24,24
2161296,2025-01-29,45.92916666666667,24,24
2161296,2025-02-02,15.941666666666668,24,24
2161296,2025-02-06,31.570833333333336,24,24
2161296,2025-02-10,53.512499999999996,24,24
2161296,2025-02-14,35.86666666666667,24,24
2161296,2025-02-18,14.170833333333334,24,24
2161296,2025-02-22,40.233333333333334,24,24
2161296,2025-02-26,24.204166666666666,24,24
2161296,2025-03-02,22.245833333333334,24,24
2161296,2025-03-06,15.1625,24,24
2161296,2025-03-10,56.5875,24,24
2161296,2025-03-14,24.925,24,24
2161296,2025-03-18,22.304166666666664,24,24
2161296,2025-03-22,43.020833333333336,24,24
2161296,2025-03-26,35.887499999999996,24,24
2161296,2025-03-30,8.979166666666666,24,24
2161296,2025-04-03,30.724999999999998,24,24
2161296,2025-04-07,41.8375,24,24
2161296,2025-04-11,32.2125,24,24
2161296,2025-04-15,30.483333333333334,24,24
2161296,2025-04-19,24.891666666666666,24,24
2161296,2025-04-23,25.21666666666667,24,24
2161296,2025-05-01,10.381818181818183,11,11
2161296,2025-05-05,19.120833333333334,24,24
2161296,2025-05-09,16.75,24,24
2161296,2025-05-13,18.7625,24,24
2161296,2025-05-17,10.475,24,24
2161296,2025-05-21,12.233333333333334,24,24
2161296,2025-05-25,11.620833333333332,24,24
2161296,2025-05-29,12.204166666666666,24,24
2161296,2025-06-02,6.991666666666667,24,24
2161296,2025-06-06,13.991666666666667,24,24
2161296,2025-06-10,9.86,10,10
3612964,2025-03-10,44.97227771580219,24,24
3612964,2025-03-14,59.38178184959623,24,24
3612964,2025-03-18,38.24234946568807,24,24
3612964,2025-03-22,100.86868672900731,24,24
3612964,2025-03-26,111.5085917154948,5,5
3612964,2025-04-27,40.64714859760169,24,24
3612964,2025-05-01,22.41458103722996,24,24
3612964,2025-05-05,25.38248724634685,15,15
3612964,2025-05-09,16.957763255967034,15,15
3612964,2025-05-13,21.473023992153916,14,14
3612964,2025-05-17,4.9116475590013176,24,24
3612964,2025-05-21,5.363605893320507,24,24
3612964,2025-05-25,2.6165034698011973,24,24
3612964,2025-05-29,1.2296062759461177,23,23
3612964,2025-06-02,2.748665426103842,7,7
3612964,2025-06-06,11.161482611929792,24,24
3612964,2025-06-10,7.748615706494699,24,24
3612964,2025-06-14,4.101729182565275,24,24
