id,n2024,n2025,name,lat,lon,params,n_pm25_rows_sample_day,sample_key,error,provider,country,has_pm25,active,kind,days,cc,region,city_km,r
1215633,364,365,石巻市石巻市門脇一番谷地51-10-1217437,38.4325,141.263056,no|no2|nox|pm25|so2,22.0,records/csv.gz/locationid=1215633/year=2025/month=07/location-1215633-20250702.csv.gz,,,,True,True,reference_likely,729,JP,Other Asia,3.668222034334685,0.015991729523571974
2162635,326,354,Blois nord-2132454,47.59425699982933,1.3026669998814109,no2|o3|pm10|pm25,18.0,records/csv.gz/locationid=2162635/year=2025/month=07/location-2162635-20250707.csv.gz,,,,True,True,reference_likely,680,FR,Europe,1.9836484926387954,0.01625971012975136
10534,62,348,Centro de Ciencias de la Atmósfera-10534,19.326388888889,-99.176111111111,co|no|no2|nox|o3|pm25|so2,18.0,records/csv.gz/locationid=10534/year=2025/month=07/location-10534-20250709.csv.gz,,sinaica-mexico,mx,True,True,reference_likely,410,MX,North/Central America,2.71558559060886,0.016527635528529094
2622796,287,365,강북구-2592587,37.64793,127.011952,co|no2|o3|pm10|pm25|so2,21.0,records/csv.gz/locationid=2622796/year=2025/month=07/location-2622796-20250702.csv.gz,,,,True,True,reference_likely,652,KR,Other Asia,9.577648949787456,0.016672126722240388
10747,0,283,"Thavakkara, Kannur - Kerala PCB-3382782",11.875,75.3732,co|no|no2|o3|pm10|pm25|relativehumidity|so2|temperature,91.0,records/csv.gz/locationid=10747/year=2025/month=08/location-10747-20250804.csv.gz,,,,True,True,reference_likely,283,IN,South Asia,1.887421678407672,0.017169427767427803
225671,245,252,"Khlong Sam Wa District Office, Bangkok-237967",13.859911,100.704002,pm25,24.0,records/csv.gz/locationid=225671/year=2025/month=05/location-225671-20250526.csv.gz,,,,True,True,reference_likely,497,TH,Other Asia,3.8033779518602757,0.017597976477304877
1215787,360,363,葛飾区亀有二丁目７５番１号-1217591,35.761111,139.855556,no|no2|nox|pm25,21.0,records/csv.gz/locationid=1215787/year=2025/month=07/location-1215787-20250701.csv.gz,,,,True,True,reference_likely,723,JP,Other Asia,1.106563003344157,0.017623163916745788
2623030,287,365,심원면-2592821,35.5241766,126.5508918,co|no2|o3|pm10|pm25|so2,21.0,records/csv.gz/locationid=2623030/year=2025/month=07/location-2623030-20250702.csv.gz,,,,True,True,reference_likely,652,KR,Other Asia,16.862349028519,0.01767815477892576
1215996,357,339,高松市国分寺町新居１７１０-１-1217800,34.302222,133.962778,no|no2|nox|pm25|so2,21.0,records/csv.gz/locationid=1215996/year=2025/month=07/location-1215996-20250715.csv.gz,,,,True,True,reference_likely,696,JP,Other Asia,7.202304173089547,0.017866352407634678
2623575,287,365,태안읍-2593366,36.746709,126.301512,co|no2|o3|pm10|pm25|so2,21.0,records/csv.gz/locationid=2623575/year=2025/month=07/location-2623575-20250702.csv.gz,,,,True,True,reference_likely,652,KR,Other Asia,13.976424019075955,0.017891420896975263
5631,0,313,"Maninagar, Ahmedabad - GPCB-3379582",23.002657,72.591912,co|no|no2|o3|pm10|pm25|relativehumidity|so2|temperature,40.0,records/csv.gz/locationid=5631/year=2025/month=07/location-5631-20250728.csv.gz,,caaqm,in,True,True,reference_likely,313,IN,South Asia,2.615776992995298,0.017931951464625562
1215846,364,365,豊岡市中央町２－４-1217650,35.541389,134.823611,no|no2|nox|pm25|so2,22.0,records/csv.gz/locationid=1215846/year=2025/month=07/location-1215846-20250702.csv.gz,,,,True,True,reference_likely,729,JP,Other Asia,0.32657069714963277,0.01836571052635816
227534,0,314,"Gyaspur, Ahmedabad - IITM-3379686",22.977134,72.553024,co|no|no2|o3|pm10|pm25|relativehumidity|so2|temperature,91.0,records/csv.gz/locationid=227534/year=2025/month=07/location-227534-20250728.csv.gz,,,,True,True,reference_likely,314,IN,South Asia,5.267576947210506,0.018895037570864193
1215411,364,365,松阪市久保町２７６-1217215,34.561667,136.538611,no|no2|nox|pm25|so2,22.0,records/csv.gz/locationid=1215411/year=2025/month=07/location-1215411-20250702.csv.gz,,,,True,True,reference_likely,729,JP,Other Asia,1.9270218014322282,0.019005856054740256
2163138,275,363,IS-5-2625944,47.13573599992694,27.693089000244296,co|no2|o3|pm10|pm25|so2,15.0,records/csv.gz/locationid=2163138/year=2025/month=07/location-2163138-20250702.csv.gz,,,,True,True,reference_likely,638,RO,Europe,7.83482056964712,0.019201809121781266
2727,355,362,ERANDIO-2727,43.30268000004976,-2.9772400002751915,co|no2|pm10|pm25|so2,21.0,records/csv.gz/locationid=2727/year=2025/month=07/location-2727-20250702.csv.gz,,eea,es,True,True,reference_likely,717,ES,Europe,0.3554535452062326,0.01941094525897602
2162729,326,364,TOULON FOCH-2132548,43.12682000018583,5.92160500018952,no2|pm10|pm25,10.0,records/csv.gz/locationid=2162729/year=2025/month=07/location-2162729-20250703.csv.gz,,,,True,True,reference_likely,690,FR,Europe,0.609716293262116,0.019700556021818083
4467,352,364,Konstanz-4467,47.66436099999235,9.169288999852991,no2|o3|pm10|pm25,23.0,records/csv.gz/locationid=4467/year=2025/month=07/location-4467-20250703.csv.gz,,eea,de,True,True,reference_likely,716,DE,Europe,0.663422940314933,0.01982638021532812
2288,364,365,Breda-Tilburgseweg-2288,51.5935,4.82494,no|no2|pm10|pm25,24.0,records/csv.gz/locationid=2288/year=2025/month=07/location-2288-20250702.csv.gz,,netherlands,nl,True,True,reference_likely,729,NL,Europe,2.8129061508942055,0.019899429097655186
1215202,360,361, 市川市稲荷木２丁目４番  稲荷木２丁目公園内 -1217006,35.709444,139.922778,co|no|no2|nox|pm25,22.0,records/csv.gz/locationid=1215202/year=2025/month=07/location-1215202-20250702.csv.gz,,,,True,True,reference_likely,721,JP,Other Asia,3.1135524040119753,0.0200561344252298
