gww_id,name,reservoir,country,iso3,lat,lon,capacity_mw,latest_month,area_km2,area_anomaly,area_anomaly_3mo,precip_12mo_anomaly,pred_gen_anomaly,pred_gen_anomaly_lo,pred_gen_anomaly_hi,pred_gen_anomaly_3mo,has_generation_truth,confidence,match_method
84129,Stung Atai,,Cambodia,KHM,12.0752,103.1899,120.0,2026-07,10.16,0.436,0.388,0.079,0.392,-0.442,1.149,0.368,False,unknown residence time,gww_polygon
83299,Tavera 1,,Dominican Republic,DOM,19.3104,-70.7437,96.0,2026-07,7.04,0.179,0.092,0.283,0.578,-0.464,1.598,0.379,False,carry-over storage (validated class),hydrolakes_pour
88842,CABRA CORRAL,General Belgrano,Argentina,ARG,-25.2712,-65.3298,102.0,2026-07,85.23,0.063,0.055,0.36,0.386,-0.469,1.25,0.581,False,carry-over storage (validated class),hydrolakes_pour
88847,Buchanan Dam (TX),Lake Buchanan,USA,USA,30.7507,-98.4176,54.9,2026-07,85.44,0.109,0.123,0.088,0.625,-0.504,1.702,0.348,True,carry-over storage (validated class),hydrolakes_pour
90348,ITUMBIARA,,BRA,BRA,-18.40944444,-49.09694444,2082.0,2026-07,494.81,0.095,0.073,0.061,0.036,-0.367,0.736,0.049,True,carry-over storage (validated class),gww_polygon
87139,Piercefield,Raquette Pond,USA,USA,44.233419,-74.566217,2.7,2026-07,24.74,0.007,-0.007,0.025,0.098,-0.342,0.444,0.06,True,short residence time (weak area signal),hydrolakes_pour
88627,Eildon,Eildon,Australia,AUS,-37.222,145.9215,120.0,2026-07,62.33,-0.067,-0.025,-0.09,-0.261,-0.844,0.166,-0.174,False,carry-over storage (validated class),hydrolakes_pour
88911,Shamkir,,Azerbaijan,AZE,40.9487,46.168,405.0,2026-07,94.73,0.115,0.059,0.197,0.26,-0.217,0.648,0.209,False,short residence time (weak area signal),hydrolakes_pour
88946,Masinga,Tana,Kenya,KEN,-0.8790053027,37.58766136,40.0,2026-07,95.2,0.29,0.275,0.194,0.706,-0.508,1.801,0.721,False,carry-over storage (validated class),hydrolakes_pour
83438,KUTTIADI,,India,IND,11.5484,75.8988,225.0,2026-07,6.92,0.122,0.019,-0.092,-0.118,-0.567,0.329,0.025,False,unknown residence time,gww_polygon
70220,Selsfors,,Sweden,SWE,64.74194444,20.63055556,61.0,2026-07,1.13,-0.026,-0.019,0.176,0.139,-0.192,0.345,0.165,False,short residence time (weak area signal),hydrolakes_pour
85942,Boone Dam,Boone Lake,USA,USA,36.4403,-82.4381,105.9,2026-07,13.1,0.107,0.075,-0.099,0.094,-0.331,0.555,-0.021,True,short residence time (weak area signal),hydrolakes_pour
88927,Hamilton Branch,Canyon,USA,USA,40.268712,-121.089479,5.3,2026-07,103.8,0.024,0.023,-0.062,-0.121,-0.74,0.436,-0.199,True,unknown residence time,gww_polygon
