i,j
17,527
107,269
110,876
111,270
113,878
114,878
115,878
115,879
116,882
117,818
117,881
117,882
118,818
121,268
121,817
121,818
121,820
122,268
122,817
122,818
122,821
125,267
127,269
128,269
130,306
130,812
130,813
131,812
132,267
132,268
133,267
133,268
133,887
134,817
135,269
136,301
137,797
137,823
138,303
138,304
138,310
138,796
140,273
140,496
140,514
140,828
141,273
141,274
142,271
143,271
143,298
143,829
145,740
146,290
150,322
150,528
151,526
151,528
152,322
152,516
152,528
153,530
154,272
155,833
155,834
156,329
156,832
156,833
157,833
158,287
158,520
158,832
159,328
159,520
160,521
160,531
161,327
161,520
162,306
163,286
165,828
166,274
166,331
166,333
166,334
166,828
167,322
167,335
168,332
168,341
168,342
169,278
171,342
172,330
172,588
172,589
173,588
173,589
174,313
175,340
175,349
175,521
175,537
175,594
178,329
178,569
180,528
181,292
182,285
183,327
184,271
184,280
184,522
186,310
186,330
186,521
186,537
186,538
187,548
188,484
190,534
193,354
193,489
193,521
193,522
193,563
194,353
194,484
195,257
195,258
196,519
198,357
198,514
198,517
201,361
202,484
203,290
203,483
203,534
203,738
205,252
205,362
205,363
205,732
206,727
206,735
207,363
207,721
207,732
208,250
208,548
208,719
208,726
209,502
209,717
209,727
210,506
210,509
210,539
210,548
210,715
210,717
211,362
211,480
211,713
212,248
212,343
212,497
212,749
213,480
214,488
215,549
216,354
217,300
217,523
217,542
217,736
218,253
218,712
219,339
219,522
219,532
220,250
220,525
221,329
221,709
222,329
222,542
222,742
223,701
223,702
224,254
224,540
224,743
225,322
225,723
226,474
226,513
226,531
226,537
226,704
228,709
228,710
229,709
229,710
230,563
230,706
233,259
233,704
234,259
234,697
235,474
235,479
235,634
235,708
236,262
236,264
236,496
236,703
237,265
237,319
237,468
237,471
238,318
238,440
238,468
238,471
239,440
239,449
239,450
239,464
239,468
239,701
239,703
240,453
240,467
240,471
240,706
240,740
240,763
241,261
241,306
241,423
241,456
241,458
241,464
241,469
241,639
241,741
242,305
242,446
242,458
242,459
242,650
242,701
242,755
243,267
243,458
243,460
243,463
243,701
243,761
243,764
244,437
244,461
245,269
245,460
246,293
246,417
246,461
246,642
246,762
247,644
248,469
248,547
249,292
249,416
249,650
250,240
250,277
250,280
250,288
250,472
250,558
250,641
250,644
250,645
250,714
251,261
251,283
251,469
251,472
251,475
251,478
251,760
252,263
252,271
252,642
252,647
252,712
252,717
252,756
252,764
253,439
253,469
253,639
253,642
253,643
253,644
254,558
254,645
254,647
254,712
255,234
255,471
255,483
255,488
255,512
255,638
255,650
256,446
256,642
256,723
257,430
257,469
257,563
257,644
257,651
258,408
258,414
258,463
258,651
258,702
258,703
259,227
259,408
259,455
259,560
259,700
259,701
259,702
259,723
260,231
260,232
260,560
260,701
260,702
261,224
261,298
261,573
261,650
261,751
261,752
261,753
262,224
262,297
262,298
262,389
262,391
262,406
262,407
262,408
262,409
262,410
262,494
262,557
262,751
262,752
262,753
263,230
263,236
263,521
263,547
263,561
263,638
263,715
263,752
264,230
264,531
265,296
265,393
265,409
265,714
265,721
266,296
266,393
266,651
266,652
266,699
266,707
266,713
266,719
267,200
267,217
267,636
267,690
267,716
268,642
268,646
269,560
269,640
269,646
269,658
270,258
270,292
270,410
270,649
270,697
270,700
270,706
270,712
271,269
271,275
271,282
271,285
271,635
271,699
271,702
271,709
271,712
271,724
272,203
272,635
272,698
272,714
272,726
273,201
273,202
273,204
273,632
273,633
273,643
273,656
273,695
273,696
273,726
274,197
274,202
274,203
274,273
274,632
274,690
274,703
274,705
274,714
274,727
275,202
275,203
275,260
275,634
275,638
275,640
275,706
275,707
275,726
276,192
276,199
276,200
276,201
276,202
276,665
277,59
277,192
277,198
277,199
277,226
277,632
277,644
277,708
277,717
278,196
278,197
278,233
278,551
278,632
278,648
